fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
403908ad,VY8723,VLG3TN,VLG,A320,EC-MXP,EIDW,LEBL,2026-06-17T01:02:29Z,2026-06-17T03:06:24Z
40390cd3,B6345,JBU345,JBU,A21N,N4073J,KBOS,LEBL,2026-06-17T00:41:01Z,2026-06-17T07:34:50Z
403912d5,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-06-17T00:54:18Z,2026-06-17T02:02:46Z
40391326,WT224,SWT224,SWT,AT73,EC-JRP,LEMD,LEBL,2026-06-17T00:53:57Z,2026-06-17T02:05:37Z
40391435,EK256,UAE256,UAE,B77L,A6-EWG,MMMX,LEBL,2026-06-17T00:57:03Z,2026-06-17T11:26:07Z
40392060,UA120,UAL120,UAL,B764,N68061,KEWR,LEBL,2026-06-17T01:28:44Z,2026-06-17T08:48:13Z
40392692,WS28,WJA28,WJA,B789,C-GYRS,CYYC,LEBL,2026-06-17T01:26:37Z,2026-06-17T10:35:34Z
40392cb1,UA672,UAL672,UAL,B772,N209UA,KSFO,LEBL,2026-06-17T01:42:30Z,2026-06-17T12:40:38Z
40393461,E9804,EVE804,EVE,A359,EC-NBO,MHPR,LEBL,2026-06-17T01:42:05Z,2026-06-17T11:58:05Z
4039349a,AV180,AVA180,AVA,B788,N782AV,SKBO,LEBL,2026-06-17T01:53:02Z,2026-06-17T11:33:26Z
40393ae1,QY8048,BCS1MU,BCS,B752,D-ALET,EBBR,LEBL,2026-06-17T01:55:44Z,2026-06-17T03:25:46Z
40393df4,5X242,UPS242,UPS,B763,N325UP,EDDK,LEBL,2026-06-17T02:00:04Z,2026-06-17T03:34:42Z
40393e24,QY8030,BCS3LR,DHA,B752,OE-LNZ,EDDP,LEBL,2026-06-17T02:00:51Z,2026-06-17T03:53:08Z
403942dd,AA40,AAL40,AAL,B788,N877BF,KORD,LEBL,2026-06-17T02:26:10Z,2026-06-17T10:17:30Z
40394da7,W64461,WZZ4461,WMT,A21N,9H-WNV,LBSF,LEBL,2026-06-17T02:53:13Z,2026-06-17T05:23:32Z
40395855,3V4272,TAY3BC,ABR,B738,EI-HRB,LFPG,LEBL,2026-06-17T02:45:50Z,2026-06-17T04:02:52Z
40395b8e,DL194,DAL194,DAL,A333,N810NW,KATL,LEBL,2026-06-17T02:55:53Z,2026-06-17T11:11:21Z
40395d1a,LY393,ELY393,ELY,B738,4X-EKB,LLBG,LEBL,2026-06-17T03:01:58Z,2026-06-17T07:04:57Z
40395f85,TW407,TWB407,KAL,A332,HL8276,RKSI,LEBL,2026-06-17T03:07:03Z,2026-06-17T16:58:28Z
403960d3,UA769,UAL769,UAL,B78X,N16008,KORD,LEBL,2026-06-17T03:48:39Z,2026-06-17T11:50:15Z
403928dd,UA633,UAL633,UAL,B752,N14120,KEWR,LEBB,2026-06-17T01:33:14Z,2026-06-17T08:04:16Z
403996dd,OS439,AUA439,AUA,A320,OE-LZF,LOWW,LEBB,2026-06-17T04:37:18Z,2026-06-17T07:00:58Z
4039984d,VY3937,VLG5QN,VLG,A320,EC-KLB,LEPA,LEBB,2026-06-17T04:39:22Z,2026-06-17T05:35:23Z
403998df,VY1463,VLG883P,VLG,A320,EC-MAH,LFPO,LEBB,2026-06-17T04:36:08Z,2026-06-17T05:42:01Z
40399ce6,UX7161,AEA27GB,OVA,B738,EC-MVY,LEMD,LEBB,2026-06-17T04:48:28Z,2026-06-17T05:25:22Z
4039a1c3,V73522,VOE59KE,VOE,A320,EC-NTL,LEBB,GCTS,2026-06-17T04:52:52Z,2026-06-17T07:40:16Z
4039a252,IB442,IBE0442,IBE,A320,EC-MCS,LEBB,LEMD,2026-06-17T04:58:39Z,2026-06-17T05:43:24Z
4039a2a1,LH1147,DLH85N,DLH,A320,D-AIZO,LEBB,EDDF,2026-06-17T04:56:03Z,2026-06-17T06:55:55Z
4039a63b,VY3284,VLG7YJ,VLG,A320,EC-LVT,LEBB,GCFV,2026-06-17T05:01:33Z,2026-06-17T07:37:45Z
4039a74f,VY3977,VLG3FP,VLG,A320,EC-KDX,LEIB,LEBB,2026-06-17T05:12:53Z,2026-06-17T06:14:14Z
4039a786,VY2515,VLG2515,VLG,A320,EC-KCU,LEBB,LEZL,2026-06-17T05:04:10Z,2026-06-17T06:10:36Z
4039a98a,KL1522,KLM98T,KLC,E75L,PH-EXW,LEBB,EHAM,2026-06-17T05:07:06Z,2026-06-17T06:48:37Z
4039abd0,VY1420,VLG5PP,VLG,A321,EC-MHS,LEBL,LEBB,2026-06-17T05:13:51Z,2026-06-17T06:00:21Z
4039ac7e,VY3802,VLG58MU,VLG,A320,EC-JZI,LEBB,LEMH,2026-06-17T05:11:27Z,2026-06-17T06:22:23Z
4039adb0,LH1831,DLH99P,DLH,A320,D-AIUL,LEBB,EDDM,2026-06-17T05:15:12Z,2026-06-17T07:12:34Z
4039adcd,AF1377,AFR38JF,HOP,E190,F-HBLO,LEBB,LFPG,2026-06-17T05:16:42Z,2026-06-17T06:32:16Z
4039ae04,VY8354,VLG8354,VLG,A320,EC-MQE,LEBB,EHAM,2026-06-17T05:13:17Z,2026-06-17T06:59:44Z
4039ae42,DY1744,NOZ44J,NOZ,B738,LN-NOD,ENGM,LEBB,2026-06-17T05:18:09Z,2026-06-17T08:13:30Z
4039aeb0,V73508,VOE3508,VOE,A320,EC-KMI,LEBB,LIRF,2026-06-17T05:18:52Z,2026-06-17T07:08:09Z
4039be85,VY3272,VLG1JR,VLG,A320,EC-LUO,LEBB,GCLP,2026-06-17T05:44:20Z,2026-06-17T08:33:06Z
403976e2,A2630,AWG630X,AWG,BCS3,YR-CHR,LROP,LEIB,2026-06-17T03:41:03Z,2026-06-17T06:44:39Z
40397dd5,FR580,RYR2AL,LDA,A320,9H-LMG,LOWW,LEIB,2026-06-17T03:55:20Z,2026-06-17T06:12:00Z
40397e12,FR615,RYR615,RYR,B738,EI-EFI,LEVC,LEIB,2026-06-17T03:51:36Z,2026-06-17T04:17:39Z
40398101,FR7572,RYR3FB,RYR,B38M,EI-IGJ,LEAL,LEIB,2026-06-17T04:07:28Z,2026-06-17T04:29:41Z
403985ea,FR3028,RYR3028,MAY,B738,9H-QCU,LEBL,LEIB,2026-06-17T04:15:49Z,2026-06-17T04:50:27Z
40398804,HV5673,TRA56M,TRA,A21N,PH-YHX,EHAM,LEIB,2026-06-17T04:08:49Z,2026-06-17T06:16:57Z
403989e8,FR8334,RYR8334,RYR,B38M,EI-IGI,LIME,LEIB,2026-06-17T04:14:15Z,2026-06-17T05:44:40Z
40398b12,U21305,EJU85KQ,EZS,A320,HB-JYA,LSGG,LEIB,2026-06-17T04:09:33Z,2026-06-17T05:36:35Z
40398e57,TO4760,TVF87KA,TVF,B738,F-HUYQ,LFPO,LEIB,2026-06-17T04:19:51Z,2026-06-17T06:03:39Z
4039946d,FR8017,RYR86EK,RYR,B738,EI-DPL,LEMG,LEIB,2026-06-17T04:35:10Z,2026-06-17T05:29:17Z
403995ea,,,,GL7T,,,,2026-06-17T06:12:10Z,2026-06-17T08:01:12Z
40399884,FR5232,RYR26NK,RYR,B738,EI-DYL,LEZL,LEIB,2026-06-17T04:45:03Z,2026-06-17T05:48:52Z
40399b83,U28099,EZY52LD,EZY,A20N,G-UZLF,EGKK,LEIB,2026-06-17T04:46:44Z,2026-06-17T06:48:02Z
40399c4e,IB1691,IBS16HH,IBS,A21N,EC-OCI,LEMD,LEIB,2026-06-17T05:43:59Z,2026-06-17T06:34:50Z
4039a107,HV6513,TRA6513,TRA,B738,PH-HSM,EHEH,LEIB,2026-06-17T05:01:04Z,2026-06-17T07:04:14Z
4039a377,VY3302,VLG4HQ,VLG,A320,EC-MAI,LEIB,LIRF,2026-06-17T04:57:15Z,2026-06-17T06:25:14Z
4039a771,BY4344,TOM28Y,TOM,B38M,G-TUPF,EGKK,LEIB,2026-06-17T05:13:55Z,2026-06-17T07:14:14Z
4039a84d,IB2516,ANE2516,ANE,AT76,EC-LSQ,LEPA,LEIB,2026-06-17T05:19:49Z,2026-06-17T05:55:16Z
4039a926,IB2511,ANE24TA,ANE,AT76,EC-LRR,LEIB,LEPA,2026-06-17T05:02:37Z,2026-06-17T05:26:14Z
40399186,DE1426,CFG1HE,MBU,A20N,ES-MBF,EDDL,GCLA,2026-06-17T04:26:51Z,2026-06-17T08:44:23Z
4039b459,AMQ342,AMQ342,EAF,A320,LZ-EAL,EPKT,GCLA,2026-06-17T05:23:28Z,2026-06-17T10:16:17Z
4039cbac,NT305,RSC50BC,IBB,AT76,EC-MYT,GCLA,GCLP,2026-06-17T06:07:17Z,2026-06-17T06:52:09Z
4039cc3b,NT603,RSC33MY,RSC,AT76,EC-MOL,GCLA,GCXO,2026-06-17T06:03:40Z,2026-06-17T06:31:41Z
4039ccee,NT600,NAY600,NAY,AT76,EC-OGF,GCXO,GCLA,2026-06-17T06:09:28Z,2026-06-17T06:32:12Z
4039d8a8,NT300,NAY18ZJ,NAY,AT76,EC-OCL,GCLP,GCLA,2026-06-17T06:29:04Z,2026-06-17T07:11:15Z
4039dc77,NT602,RSC8ZZ,RSC,AT76,EC-NGF,GCXO,GCLA,2026-06-17T06:35:43Z,2026-06-17T06:58:18Z
4039e402,PM412,CNF412S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-17T06:50:36Z,2026-06-17T07:14:48Z
4039ead8,NT604,RSC2SY,RSC,AT76,EC-MPI,GCXO,GCLA,2026-06-17T07:03:02Z,2026-06-17T07:25:14Z
4039ee30,NT605,NAY2YB,NAY,AT76,EC-OGF,GCLA,GCXO,2026-06-17T07:04:29Z,2026-06-17T07:34:15Z
4039fe27,NT607,RSC73MZ,RSC,AT76,EC-NGF,GCLA,GCXO,2026-06-17T07:31:57Z,2026-06-17T08:01:16Z
403a0686,PM413,CNF413S,CNF,AT75,EC-MUJ,GCLA,GCXO,2026-06-17T07:43:38Z,2026-06-17T08:10:12Z
403a072a,NT307,NAY53MK,NAY,AT76,EC-OCL,GCLA,GCLP,2026-06-17T07:46:27Z,2026-06-17T08:28:21Z
403a11c1,NT609,RSC609,RSC,AT76,EC-MPI,GCLA,GCXO,2026-06-17T08:01:34Z,2026-06-17T08:31:31Z
403a14d2,NT610,NAY74ZZ,NAY,AT76,EC-OGF,GCXO,GCLA,2026-06-17T08:07:54Z,2026-06-17T08:32:48Z
403a23c6,NT760,RSC760,RSC,AT76,EC-NDD,GCTS,GCLA,2026-06-17T08:31:17Z,2026-06-17T08:58:23Z
403a2b91,PM418,CNF418S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-17T08:45:33Z,2026-06-17T09:08:24Z
403a35d8,NT616,NAY31XL,IBB,AT76,EC-NVC,GCXO,GCLA,2026-06-17T09:04:11Z,2026-06-17T09:28:01Z
403a377b,NT308,RSC83XR,RSC,AT76,EC-MSK,GCLP,GCLA,2026-06-17T09:05:07Z,2026-06-17T09:45:00Z
403a3a5a,NT617,NAY32VP,NAY,AT76,EC-OGF,GCLA,GCXO,2026-06-17T09:04:40Z,2026-06-17T09:35:29Z
40390328,IB4081,ANE4081,ANE,CRJX,EC-MVZ,LEMD,EDDM,2026-06-17T00:20:27Z,2026-06-17T02:36:21Z
40390915,IB380,IBE03PB,IBE,A332,EC-MOY,TJSJ,LEMD,2026-06-17T00:51:46Z,2026-06-17T08:40:38Z
40390989,LA8076,TAM8076,LAN,B789,CC-BGY,SBGR,LEMD,2026-06-17T00:37:03Z,2026-06-17T09:56:18Z
40390a8f,AV47,AVA047,AVA,B788,N781AV,LEMD,SKBO,2026-06-17T00:33:31Z,2026-06-17T09:41:25Z
40390ec9,AA740,AAL740,AAL,B788,N808AN,KPHL,LEMD,2026-06-17T00:47:45Z,2026-06-17T07:16:36Z
40390ec0,QY8340,BCS7CK,RGN,B752,EC-KLD,LIMC,LEMD,2026-06-17T00:52:03Z,2026-06-17T02:29:08Z
40390fde,OB776,BOV776,BOV,A332,CP-3208,SLVR,LEMD,2026-06-17T00:41:23Z,2026-06-17T11:08:44Z
40391066,DL126,DAL126,DAL,A333,N812NW,KJFK,LEMD,2026-06-17T00:50:14Z,2026-06-17T07:14:14Z
40391375,CA898,CCA898,CCA,B789,B-7878,LEMD,ZBAA,2026-06-17T00:57:07Z,2026-06-17T11:31:01Z
40391a35,UX1088,AEA35SY,OVA,B38M,EC-OTA,LGAV,LEMD,2026-06-17T00:58:07Z,2026-06-17T04:04:43Z
40391eb6,AEG472,AEG472,AEG,SF34,ES-LSG,LEMD,EDSB,2026-06-17T00:52:46Z,2026-06-17T04:02:33Z
