fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
3fe71ca9,WT224,SWT224,SWT,AT72,EC-IYH,LEMD,LEBL,2026-05-28T00:34:00Z,2026-05-28T01:49:30Z
3fe72381,EK256,UAE256,UAE,B77L,A6-EWG,MMMX,LEBL,2026-05-28T00:56:49Z,2026-05-28T11:19:13Z
3fe72890,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-05-28T00:58:58Z,2026-05-28T02:07:20Z
3fe7357e,UA672,UAL672,UAL,B772,N206UA,KSFO,LEBL,2026-05-28T01:18:25Z,2026-05-28T12:20:55Z
3fe74d1c,IB2630,LVL230K,LVL,A332,EC-ODA,KMIA,LEBL,2026-05-28T01:54:09Z,2026-05-28T10:15:18Z
3fe74ea7,5X242,UPS242,UPS,B763,N364UP,EDDK,LEBL,2026-05-28T01:54:41Z,2026-05-28T03:34:39Z
3fe74f69,QY8048,BCS1MU,DHA,B752,OE-LNI,EBBR,LEBL,2026-05-28T01:56:55Z,2026-05-28T03:31:29Z
3fe74fd0,DL194,DAL194,DAL,A333,N816NW,KATL,LEBL,2026-05-28T02:02:55Z,2026-05-28T10:20:09Z
3fe75a6d,QY8030,BCS3LR,BCS,A306,D-AEAA,EDDP,LEBL,2026-05-28T02:14:41Z,2026-05-28T04:05:06Z
3fe75c9e,WS66,WJA66,WJA,B38M,C-GRAX,CYHZ,LEBL,2026-05-28T02:09:42Z,2026-05-28T08:17:03Z
3fe75ebd,,PAV522H,PAV,C525,D-IHVQ,LEVX,LEBL,2026-05-28T02:23:24Z,2026-05-28T04:01:06Z
3fe76406,IB2626,LVL269B,LVL,A332,EC-ODB,KBOS,LEBL,2026-05-28T03:20:17Z,2026-05-28T09:59:30Z
3fe76943,UA769,UAL769,UAL,B788,N26910,KORD,LEBL,2026-05-28T02:50:09Z,2026-05-28T10:37:55Z
3fe76a32,D82900,NSZ2900,NSZ,B38M,SE-RTF,EFHK,LEBL,2026-05-28T03:16:16Z,2026-05-28T06:39:58Z
3fe76d87,,VLG303P,VLG,A319,EC-MKX,LEBL,LIRQ,2026-05-28T03:16:17Z,2026-05-28T04:37:30Z
3fe7714e,LY393,ELY393,ELY,B739,4X-EHD,LLBG,LEBL,2026-05-28T03:08:07Z,2026-05-28T07:10:30Z
3fe77168,3V4272,TAY3BC,TAY,B738,OE-IWB,LFPG,LEBL,2026-05-28T02:53:17Z,2026-05-28T04:09:22Z
3fe7766d,W43175,WMT3796,WZZ,A321,HA-LXH,LROP,LEBL,2026-05-28T03:05:10Z,2026-05-28T06:04:36Z
3fe7783b,QY8430,BCS3WP,RGN,B752,EC-NYM,LEBL,LEMD,2026-05-28T03:14:09Z,2026-05-28T04:02:41Z
3fe77824,IB2624,LVL247M,LVL,A332,EC-NNH,KLAX,LEBL,2026-05-28T03:08:43Z,2026-05-28T14:14:15Z
3fe79a34,W62049,WZZ8DZ,WZZ,A21N,HA-LGM,EPKK,LEBB,2026-05-28T04:10:37Z,2026-05-28T06:57:37Z
3fe7a9fe,UX7161,AEA27GB,OVA,B738,EC-MUZ,LEMD,LEBB,2026-05-28T04:41:46Z,2026-05-28T05:19:44Z
3fe7ac46,V73504,VOE58WA,VOE,A320,EC-NOS,LEBB,LGAV,2026-05-28T05:37:36Z,2026-05-28T08:44:03Z
3fe7ad9f,V73534,VOE2GF,VOE,A320,EC-NNY,LEBB,LEAL,2026-05-28T04:45:27Z,2026-05-28T05:49:58Z
3fe7b17c,IB442,IBE0442,IBE,A20N,EC-NFH,LEBB,LEMD,2026-05-28T05:04:47Z,2026-05-28T05:47:46Z
3fe7b1ca,LH1147,DLH85N,DLH,A320,D-AIZQ,LEBB,EDDF,2026-05-28T04:56:25Z,2026-05-28T06:38:57Z
3fe7b204,VY1420,VLG5PP,VLG,A321,EC-MHS,LEBL,LEBB,2026-05-28T05:10:19Z,2026-05-28T06:02:23Z
3fe7b222,VY3280,VLG15FH,VLG,A20N,EC-NDA,LEBB,GCRR,2026-05-28T04:54:31Z,2026-05-28T07:31:56Z
3fe7b244,D83708,NSZ3708,NSZ,B738,SE-RPR,EKCH,LEBB,2026-05-28T05:01:10Z,2026-05-28T07:28:55Z
3fe7b5cb,KL1522,KLM98T,KLC,E190,PH-EZH,LEBB,EHAM,2026-05-28T05:00:58Z,2026-05-28T06:40:35Z
3fe7b58e,VY2512,VLG7CX,VLG,A320,EC-LVS,LEBB,LEZL,2026-05-28T05:07:58Z,2026-05-28T06:12:55Z
3fe7b728,VY3937,VLG5QN,VLG,A320,EC-MFM,LEPA,LEBB,2026-05-28T05:07:27Z,2026-05-28T06:08:21Z
3fe7bb64,VY1423,VLG32LC,VLG,A320,EC-MBT,LEBB,LEBL,2026-05-28T05:11:38Z,2026-05-28T06:00:32Z
3fe7bc14,IB429,IBE04RD,IBE,A321,EC-JDM,LEMD,LEBB,2026-05-28T05:47:51Z,2026-05-28T06:24:47Z
3fe7c01d,LH1831,DLH99P,DLH,A320,D-AIUP,LEBB,EDDM,2026-05-28T05:21:17Z,2026-05-28T07:11:38Z
3fe7c081,AF1377,AFR38JF,HOP,E190,F-HBLF,LEBB,LFPG,2026-05-28T05:26:11Z,2026-05-28T06:41:51Z
3fe7c0aa,VY3272,VLG1JR,VLG,A320,EC-MKN,LEBB,GCLP,2026-05-28T05:28:26Z,2026-05-28T08:16:16Z
3fe7ca02,VY3284,VLG7YJ,VLG,A320,EC-MKM,LEBB,GCFV,2026-05-28T05:32:03Z,2026-05-28T08:08:28Z
3fe7cf4c,VY2700,VLG7PA,VLG,A320,EC-OJG,LEBB,LPPT,2026-05-28T05:50:22Z,2026-05-28T07:02:43Z
3fe7d173,,ECEKX,,C172,EC-EKX,LEBB,LEBB,2026-05-28T05:45:47Z,2026-05-28T06:59:12Z
3fe71397,BY1301,TOM9PX,TOM,B38M,G-TUOD,LEIB,EGPF,2026-05-28T00:19:49Z,2026-05-28T02:53:13Z
3fe77c09,DE1500,CFG7FM,CFG,A20N,D-ANCA,EDDF,LEIB,2026-05-28T03:18:20Z,2026-05-28T05:25:37Z
3fe7837d,,HBFPC,,PC12,HB-FPC,LEIB,LSZC,2026-05-28T03:23:26Z,2026-05-28T06:06:48Z
3fe7895b,,ANE7015,ANE,AT76,EC-LRR,LEVC,LEIB,2026-05-28T03:36:24Z,2026-05-28T04:06:43Z
3fe78ca4,HV5671,TRA79H,TRA,B738,PH-HBM,EHAM,LEIB,2026-05-28T03:49:17Z,2026-05-28T05:56:55Z
3fe78cad,FR4362,RYR92EM,MAY,B38M,9H-VVR,LFOB,LEIB,2026-05-28T03:46:45Z,2026-05-28T05:34:14Z
3fe7922a,FR4139,RYR64PC,MAY,B738,9H-QEL,LIRF,LEIB,2026-05-28T03:58:42Z,2026-05-28T05:28:09Z
3fe7997c,SN3777,BEL6JW,BEL,A319,OO-SSF,EBBR,LEIB,2026-05-28T04:20:04Z,2026-05-28T06:26:23Z
