fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
4034d954,AA112,AAL112,AAL,B772,N796AN,KMIA,LEBL,2026-06-16T00:29:38Z,2026-06-16T09:18:50Z
4034db6d,VY2693,VLG2693,VLG,A319,EC-MKV,DTTA,LEBL,2026-06-16T00:14:39Z,2026-06-16T01:41:18Z
4034e00d,VY6151,VLG37CO,VLG,A320,EC-LLJ,DAAG,LEBL,2026-06-16T00:20:23Z,2026-06-16T01:10:03Z
4034f1a6,EK256,UAE256,UAE,B77L,A6-EWI,MMMX,LEBL,2026-06-16T01:01:57Z,2026-06-16T11:28:55Z
4034f4a0,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-06-16T01:00:19Z,2026-06-16T02:08:19Z
4034fd68,UA672,UAL672,UAL,B772,N76021,KSFO,LEBL,2026-06-16T01:25:20Z,2026-06-16T12:38:45Z
403501aa,DL194,DAL194,DAL,A333,N809NW,KATL,LEBL,2026-06-16T02:13:19Z,2026-06-16T10:31:44Z
403511d6,W64527,WZZ7G,WMT,A21N,9H-WMH,LBWN,LEBL,2026-06-16T02:12:49Z,2026-06-16T05:15:53Z
403511db,AV180,AVA180,AVA,B788,N784AV,SKBO,LEBL,2026-06-16T01:44:58Z,2026-06-16T11:30:50Z
40351461,QY8048,BCS1MU,BCS,B752,D-ALET,EBBR,LEBL,2026-06-16T01:52:27Z,2026-06-16T03:26:36Z
40351841,5X242,UPS242,UPS,B763,N340UP,EDDK,LEBL,2026-06-16T01:53:37Z,2026-06-16T03:34:13Z
40351bb4,QY8030,BCS3LR,DHA,B752,OE-LNH,EDDP,LEBL,2026-06-16T01:58:56Z,2026-06-16T03:51:35Z
40352263,IB2630,LVL230K,LVL,A332,EC-ODB,KMIA,LEBL,2026-06-16T02:21:24Z,2026-06-16T11:15:41Z
40352cc7,WS66,WJA66,WJA,B38M,C-FRYV,CYHZ,LEBL,2026-06-16T02:18:33Z,2026-06-16T08:32:42Z
4035349a,3V4272,TAY3BC,ABR,B738,EI-HRB,LFPG,LEBL,2026-06-16T02:56:02Z,2026-06-16T04:14:50Z
40353533,UA769,UAL769,UAL,B788,N27908,KORD,LEBL,2026-06-16T04:59:38Z,2026-06-16T12:51:13Z
403539c6,QY8430,BCS3WP,SWT,B752,EC-NIV,LEBL,LEMD,2026-06-16T02:47:18Z,2026-06-16T03:37:51Z
40353cea,LY393,ELY393,ELY,B738,4X-EKP,LLBG,LEBL,2026-06-16T02:59:41Z,2026-06-16T07:11:41Z
40354096,W43175,WMT3796,WMT,A321,9H-WZB,LROP,LEBL,2026-06-16T03:07:28Z,2026-06-16T05:57:22Z
