fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
40089375,,,,GA6C,,,,2026-06-05T00:11:27Z,2026-06-05T07:16:23Z
40089a3a,WT224,SWT224,SWT,AT73,EC-JRP,LEMD,LEBL,2026-06-05T00:30:00Z,2026-06-05T01:36:18Z
40089ea2,AA40,AAL40,AAL,B788,N815AA,KORD,LEBL,2026-06-05T00:47:57Z,2026-06-05T08:21:51Z
4008a958,QY460,BCS460,SWN,B738,SE-RLJ,LIMC,LEBL,2026-06-05T00:54:34Z,2026-06-05T02:08:55Z
4008aa24,EK256,UAE256,UAE,B77L,A6-EWC,MMMX,LEBL,2026-06-05T01:05:53Z,2026-06-05T11:17:25Z
4008bffb,A3713,AEE713,AEE,A21N,SX-NAS,LEBL,LGAV,2026-06-05T01:23:06Z,2026-06-05T03:42:50Z
4008c122,UA672,UAL672,UAL,B772,N78009,KSFO,LEBL,2026-06-05T01:41:30Z,2026-06-05T12:21:05Z
4008c9ee,5X242,UPS242,UPS,B763,N396UP,EDDK,LEBL,2026-06-05T01:37:19Z,2026-06-05T03:22:32Z
4008caa0,AV180,AVA180,AVA,B788,N795AV,SKBO,LEBL,2026-06-05T01:42:34Z,2026-06-05T11:20:59Z
4008cfbe,QY8048,BCS1MU,DHA,B752,OE-LNI,EBBR,LEBL,2026-06-05T01:47:52Z,2026-06-05T03:25:57Z
4008dacd,QY8030,BCS3LR,BCS,A306,D-AZMM,EDDP,LEBL,2026-06-05T02:05:18Z,2026-06-05T04:13:07Z
4008daf2,DL194,DAL194,DAL,A333,N810NW,KATL,LEBL,2026-06-05T02:06:05Z,2026-06-05T10:26:11Z
4008ed01,3V4272,TAY3BC,TAY,B738,OE-IXA,LFPG,LEBL,2026-06-05T02:52:01Z,2026-06-05T04:15:29Z
4008f622,FR1787,RYR200F,RYS,B738,SP-RSZ,EYVI,LEBL,2026-06-05T02:44:19Z,2026-06-05T06:05:00Z
4008fa38,LY393,ELY393,ELY,B738,4X-EKT,LLBG,LEBL,2026-06-05T02:59:02Z,2026-06-05T07:20:56Z
4008ff61,W43403,WMT46NC,WMT,A320,9H-WZR,LRCL,LEBL,2026-06-05T03:01:34Z,2026-06-05T05:52:10Z
400900fa,W43175,WMT3796,WZZ,A321,HA-LXO,LROP,LEBL,2026-06-05T03:04:29Z,2026-06-05T06:00:11Z
