fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
400ce8ae,AA40,AAL40,AAL,B788,N874AN,KORD,LEBL,2026-06-06T00:24:13Z,2026-06-06T07:57:54Z
400cf892,AC822,ACA822,ACA,A333,C-GEGP,CYUL,LEBL,2026-06-06T00:48:23Z,2026-06-06T07:15:06Z
400d0016,EK256,UAE256,UAE,B77L,A6-EWE,MMMX,LEBL,2026-06-06T01:11:50Z,2026-06-06T11:29:58Z
400d0930,A3713,AEE713,AEE,A21N,SX-NAZ,LEBL,LGAV,2026-06-06T01:03:46Z,2026-06-06T03:22:24Z
400d100b,WS28,WJA28,WJA,B789,C-GMKS,CYYC,LEBL,2026-06-06T01:26:21Z,2026-06-06T10:37:16Z
400d1282,IB2630,LVL230K,LVL,A332,EC-ODB,KMIA,LEBL,2026-06-06T02:23:01Z,2026-06-06T10:33:30Z
400d16b0,UA672,UAL672,UAL,B772,N783UA,KSFO,LEBL,2026-06-06T01:50:07Z,2026-06-06T12:25:39Z
400d173c,VY7364,VLG6PZ,VLG,A320,EC-OGC,LEBL,GMTT,2026-06-06T04:06:10Z,2026-06-06T05:40:49Z
400d2024,AV180,AVA180,AVA,B788,N782AV,SKBO,LEBL,2026-06-06T01:51:24Z,2026-06-06T11:21:04Z
400d291e,DL194,DAL194,DAL,A333,N821NW,KATL,LEBL,2026-06-06T02:02:15Z,2026-06-06T10:23:03Z
400d2f5b,TW407,TWB407,KAL,A332,HL8212,RKSI,LEBL,2026-06-06T02:24:37Z,2026-06-06T16:35:26Z
400d3b6e,QY8030,BCS3LR,BCS,A306,D-AZMQ,EDDP,LEBL,2026-06-06T02:37:34Z,2026-06-06T04:44:00Z
400d49ac,W43175,WMT3796,WZZ,A321,HA-LTK,LROP,LEBL,2026-06-06T03:01:37Z,2026-06-06T06:00:04Z
400d4abb,IB2610,LVL2610,LVL,A332,EC-NEN,SPJC,LEBL,2026-06-06T03:25:12Z,2026-06-06T15:17:46Z
400d4d2d,OZ511,AAR511,AAR,A359,HL7579,RKSI,LEBL,2026-06-06T03:26:17Z,2026-06-06T16:56:20Z
400d4d8d,,VLG404P,VLG,A320,EC-MBF,LEBL,LFPO,2026-06-06T03:07:54Z,2026-06-06T04:32:51Z
400d5184,J245,AHY045,AHY,A20N,VP-BAK,UBBB,LEBL,2026-06-06T03:20:04Z,2026-06-06T08:41:09Z
400d523b,WT220,SWT220,SWT,AT72,EC-IYH,LEBL,LEPA,2026-06-06T03:17:23Z,2026-06-06T03:50:41Z
400d5278,SN3708,BEL8DM,BEL,A320,OO-SNE,LEBL,EBBR,2026-06-06T03:47:49Z,2026-06-06T05:28:40Z
400d52f1,FR8214,RYR9LH,RYR,B738,EI-DCP,EGSS,LEBL,2026-06-06T06:05:08Z,2026-06-06T08:03:22Z
400d7a10,UX7161,AEA27GB,OVA,B738,EC-NUZ,LEMD,LEBB,2026-06-06T04:41:30Z,2026-06-06T05:18:32Z
400d7e12,V73568,VOE8NW,VOE,A320,EC-NQM,LEBB,LECH,2026-06-06T04:44:54Z,2026-06-06T05:35:29Z
400d7fe3,TK1315,THY6ZN,THY,B39M,TC-LYC,LTFM,LEBB,2026-06-06T05:15:45Z,2026-06-06T09:06:08Z
400d8259,VY3937,VLG5QN,VLG,A320,EC-OGE,LEPA,LEBB,2026-06-06T04:57:04Z,2026-06-06T06:05:26Z
400d827f,VY1423,VLG32LC,VLG,A320,EC-OJF,LEBB,LEBL,2026-06-06T04:50:31Z,2026-06-06T05:38:55Z
400d828f,LH1147,DLH85N,DLH,A20N,D-AINY,LEBB,EDDF,2026-06-06T04:55:47Z,2026-06-06T06:36:37Z
400d829a,VY1420,VLG5PP,VLG,A321,EC-NLX,LEBL,LEBB,2026-06-06T05:05:11Z,2026-06-06T06:02:12Z
400d8370,VY1470,VLG7QT,VLG,A320,EC-MLE,LEBB,EBBR,2026-06-06T04:57:46Z,2026-06-06T06:27:14Z
400d854f,KL1522,KLM98T,KLC,E190,PH-EZX,LEBB,EHAM,2026-06-06T04:59:41Z,2026-06-06T06:40:42Z
400d858b,VY1463,VLG883P,VLG,A320,EC-KJD,LFPO,LEBB,2026-06-06T05:14:48Z,2026-06-06T06:32:01Z
400d86f9,VY1450,VLG9EH,VLG,A320,EC-KHN,LEBB,LEAL,2026-06-06T05:09:13Z,2026-06-06T06:10:45Z
400d8799,VY2800,VLG2800,VLG,A20N,EC-NCF,LEBB,EGPH,2026-06-06T05:02:17Z,2026-06-06T07:02:18Z
400d8bd0,VY3280,VLG15FH,VLG,A320,EC-LLJ,LEBB,GCRR,2026-06-06T05:07:19Z,2026-06-06T07:48:51Z
400d8e12,LH1831,DLH99P,DLH,A20N,D-AINU,LEBB,EDDM,2026-06-06T05:19:47Z,2026-06-06T06:53:37Z
400d8e23,AF1377,AFR38JF,HOP,E190,F-HBLF,LEBB,LFPG,2026-06-06T05:15:38Z,2026-06-06T06:33:25Z
400d9185,DY1744,NOZ44J,NSZ,B38M,SE-RTP,ENGM,LEBB,2026-06-06T05:31:13Z,2026-06-06T08:26:43Z
400d951e,VY2511,VLG7KA,VLG,A20N,EC-NIY,LEZL,LEBB,2026-06-06T05:32:08Z,2026-06-06T06:35:42Z
400d98c3,VY1454,VLG4MA,VLG,A320,EC-LVT,LEBB,LIMC,2026-06-06T05:33:46Z,2026-06-06T07:03:00Z
400d98ca,V73512,VOE71UJ,VOE,A320,EC-NOS,LEBB,LEMG,2026-06-06T05:37:26Z,2026-06-06T06:50:20Z
400d99ce,V73553,VOE90XV,VOE,A320,EC-NPB,LIRN,LEBB,2026-06-06T06:04:33Z,2026-06-06T08:20:57Z
400d11e1,,MEECOAE,,BE20,EC-OAE,LEIB,LEPA,2026-06-06T01:15:44Z,2026-06-06T01:36:13Z
400d3584,4Y530,OCN23F,OCN,A320,D-AIUT,EDDF,LEIB,2026-06-06T03:00:24Z,2026-06-06T05:03:48Z
400d492c,DE1500,CFG7FD,CFG,A20N,D-ANCW,EDDF,LEIB,2026-06-06T03:06:11Z,2026-06-06T05:11:34Z
400d53be,HV5671,TRA79H,TRA,B738,PH-HXM,EHAM,LEIB,2026-06-06T03:41:57Z,2026-06-06T05:56:49Z
400d5e65,EW544,EWG4TW,EWG,A320,D-ABZL,EDDK,LEIB,2026-06-06T03:51:00Z,2026-06-06T06:07:54Z
400d5f18,FR3028,RYR3028,MAY,B738,9H-QAX,LEBL,LEIB,2026-06-06T03:50:21Z,2026-06-06T04:32:06Z
400d602f,,ANE7015,ANE,AT76,EC-LSQ,LEVC,LEIB,2026-06-06T03:45:23Z,2026-06-06T04:10:52Z
400d604c,FR615,RYR615,RYR,B738,EI-ENH,LEVC,LEIB,2026-06-06T03:48:33Z,2026-06-06T04:14:36Z
400d6192,DE1576,CFG5XW,BUC,A320,LZ-LAK,EDDM,LEIB,2026-06-06T04:00:35Z,2026-06-06T06:02:59Z
400d621c,IB2434,ANE03YN,ANE,CRJX,EC-MTZ,LEVC,LEIB,2026-06-06T03:52:23Z,2026-06-06T04:17:48Z
400d661c,OR1533,TFL3AW,TFL,B38M,PH-TFP,EHAM,LEIB,2026-06-06T03:58:01Z,2026-06-06T06:16:32Z
400d69a9,FR8334,RYR8334,RYR,B38M,EI-ILB,LIME,LEIB,2026-06-06T04:10:52Z,2026-06-06T05:44:14Z
400d6cb2,U23735,EJU18WZ,EJU,A21N,OE-ISG,LIMC,LEIB,2026-06-06T04:13:50Z,2026-06-06T05:50:07Z
400d6e7f,FR8124,RYR8124,RYR,B738,EI-DYV,LFBO,LEIB,2026-06-06T04:15:42Z,2026-06-06T05:13:51Z
400d6f92,FR6616,RYR6616,RYR,B738,EI-DWE,LEAL,LEIB,2026-06-06T04:24:51Z,2026-06-06T04:46:27Z
400d6ff4,FR4921,RYR5PQ,RYR,B738,EI-DYC,EDFH,LEIB,2026-06-06T04:20:39Z,2026-06-06T06:19:20Z
400d732e,FR8830,RYR311G,RYR,B38M,EI-HGO,LEIB,LIPH,2026-06-06T04:25:26Z,2026-06-06T05:58:12Z
400d7af1,U21305,EJU85KQ,EZS,A320,HB-JXV,LSGG,LEIB,2026-06-06T04:37:20Z,2026-06-06T06:05:15Z
400d7c05,IB2430,ANE46LN,ANE,AT76,EC-LRH,LEVC,LEIB,2026-06-06T04:46:45Z,2026-06-06T05:20:26Z
400d8121,DE1868,CFG7RA,CFG,A321,D-ATCA,LSZH,LEIB,2026-06-06T04:57:32Z,2026-06-06T06:42:24Z
400d9f51,NT300,IBB18ZJ,IBB,E295,EC-OEA,GCLP,GCLA,2026-06-06T05:52:53Z,2026-06-06T06:27:02Z
400da6b4,NT600,NAY600,NAY,AT76,EC-MVI,GCXO,GCLA,2026-06-06T06:09:22Z,2026-06-06T06:31:28Z
400da7aa,NT603,RSC33MY,RSC,AT76,EC-MSJ,GCLA,GCXO,2026-06-06T06:05:24Z,2026-06-06T06:37:47Z
400da7f7,NT305,RSC50BC,RSC,AT76,EC-MJG,GCLA,GCLP,2026-06-06T06:02:45Z,2026-06-06T06:47:45Z
400db69b,NT602,RSC8ZZ,RSC,AT76,EC-NDD,GCXO,GCLA,2026-06-06T06:35:22Z,2026-06-06T06:56:07Z
400dbdfe,PM412,CNF412S,CNF,AT75,EC-MHJ,GCXO,GCLA,2026-06-06T06:57:47Z,2026-06-06T07:18:42Z
400dc461,NT605,NAY2YB,NAY,AT76,EC-MVI,GCLA,GCXO,2026-06-06T07:00:08Z,2026-06-06T07:29:37Z
400dcaad,NT604,RSC2SY,RSC,AT76,EC-MSJ,GCXO,GCLA,2026-06-06T07:11:09Z,2026-06-06T07:31:00Z
400dd428,NT607,RSC73MZ,RSC,AT76,EC-NDD,GCLA,GCXO,2026-06-06T07:28:54Z,2026-06-06T07:55:12Z
400ddb37,NT307,IBB53MK,IBB,E295,EC-OEA,GCLA,GCLP,2026-06-06T07:47:15Z,2026-06-06T08:21:36Z
400ddd17,PM413,CNF413S,CNF,AT75,EC-MHJ,GCLA,GCXO,2026-06-06T07:43:50Z,2026-06-06T08:12:14Z
400de79f,NT609,RSC609,RSC,AT76,EC-MSJ,GCLA,GCXO,2026-06-06T08:01:05Z,2026-06-06T08:34:39Z
400def50,NT610,NAY74ZZ,NAY,AT76,EC-MVI,GCXO,GCLA,2026-06-06T08:14:29Z,2026-06-06T08:35:23Z
400df7e6,NT760,RSC760,RSC,AT76,EC-MJG,GCTS,GCLA,2026-06-06T08:28:13Z,2026-06-06T08:53:16Z
400e0187,PM418,CNF418S,CNF,AT75,EC-MHJ,GCXO,GCLA,2026-06-06T08:44:33Z,2026-06-06T09:06:55Z
400e0d66,NT617,NAY32VP,NAY,AT76,EC-MVI,GCLA,GCXO,2026-06-06T09:01:03Z,2026-06-06T09:31:29Z
400e0f1f,NT616,RSC31XL,RSC,AT76,EC-MIF,GCXO,GCLA,2026-06-06T09:10:22Z,2026-06-06T09:32:23Z
400e19b9,NT308,NAY83XR,NAY,AT76,EC-NGG,GCLP,GCLA,2026-06-06T09:24:26Z,2026-06-06T10:03:54Z
400e1fb8,IB1531,IBS15HV,IBS,A320,EC-MUK,LEMD,GCLA,2026-06-06T09:38:00Z,2026-06-06T12:12:35Z
400e21cf,NT763,RSC75UH,RSC,AT76,EC-MJG,GCLA,GCTS,2026-06-06T09:34:29Z,2026-06-06T09:58:36Z
400ced18,FR6609,RYR1ED,MAY,B738,9H-QBS,GMME,LEMD,2026-06-06T00:20:08Z,2026-06-06T01:23:36Z
400cefb6,DL126,DAL126,DAL,A333,N808NW,KJFK,LEMD,2026-06-06T00:46:43Z,2026-06-06T07:16:25Z
