fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
3feb7063,TW407,TWB407,KAL,A332,HL8212,RKSI,LEBL,2026-05-29T02:53:59Z,2026-05-29T17:32:48Z
3feb7b95,WT224,SWT224,SWT,AT72,EC-IYH,LEMD,LEBL,2026-05-29T00:36:20Z,2026-05-29T01:48:40Z
3feb8b72,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-05-29T01:06:43Z,2026-05-29T02:13:28Z
3feb905b,UA672,UAL672,UAL,B772,N78004,KSFO,LEBL,2026-05-29T01:18:09Z,2026-05-29T12:09:24Z
3feb915e,FR12,RYR11SZ,MAY,B738,9H-QDN,LEBL,LOWW,2026-05-29T03:51:28Z,2026-05-29T05:46:57Z
3feb95c2,EK256,UAE256,UAE,B77L,A6-EWD,MMMX,LEBL,2026-05-29T01:26:21Z,2026-05-29T11:39:02Z
3feb9f99,,MABSU,RYR,CL35,M-ABSU,LIME,LEBL,2026-05-29T01:24:03Z,2026-05-29T02:31:39Z
3febaac4,QY8048,BCS1MU,DHA,B752,OE-LNA,EBBR,LEBL,2026-05-29T01:53:47Z,2026-05-29T03:24:55Z
3febab89,VY8105,VLG448P,VLG,A321,EC-MOO,LGAV,LEBL,2026-05-29T01:38:34Z,2026-05-29T04:15:51Z
3febb0d1,QY8030,BCS3LR,BCS,A306,D-AEAB,EDDP,LEBL,2026-05-29T01:58:50Z,2026-05-29T03:45:44Z
3febb3a0,5X242,UPS242,UPS,B763,N364UP,EDDK,LEBL,2026-05-29T01:57:03Z,2026-05-29T03:31:14Z
3febb568,DL194,DAL194,DAL,A333,N812NW,KATL,LEBL,2026-05-29T02:08:11Z,2026-05-29T10:20:59Z
3febd06d,3V4272,TAY3BC,TAY,B738,OE-IWF,LFPG,LEBL,2026-05-29T02:46:45Z,2026-05-29T03:57:50Z
3febd076,W43403,WMT46NC,WMT,A320,9H-WAV,LRCL,LEBL,2026-05-29T02:46:50Z,2026-05-29T05:21:26Z
3febd3ab,UA769,UAL769,UAL,B788,N26909,KORD,LEBL,2026-05-29T03:24:02Z,2026-05-29T11:17:54Z
3febd3ef,FR1787,RYR200F,RYS,B738,SP-RKN,EYVI,LEBL,2026-05-29T02:50:49Z,2026-05-29T05:45:42Z
3febda97,W62375,WZZ75BL,WZZ,A21N,HA-LZX,LHBP,LEBL,2026-05-29T03:02:41Z,2026-05-29T05:12:09Z
3febdafb,W43175,WMT3796,WZZ,A321,HA-LXM,LROP,LEBL,2026-05-29T03:03:08Z,2026-05-29T05:52:58Z
3febdc9e,LY393,ELY393,ELY,B739,4X-EHA,LLBG,LEBL,2026-05-29T03:13:07Z,2026-05-29T07:24:45Z
3febdd4c,QY8430,BCS3WP,RGN,B752,EC-NFN,LEBL,LEMD,2026-05-29T03:15:29Z,2026-05-29T04:04:40Z
3febf391,WK226,EDW721D,EDW,A320,HB-JJN,LSZH,LEBB,2026-05-29T04:13:09Z,2026-05-29T05:45:41Z
3fec040d,U21367,EZS59QK,EZS,A20N,HB-AYP,LSGG,LEBB,2026-05-29T04:23:37Z,2026-05-29T05:39:52Z
3fec11bb,VY1463,VLG883P,VLG,A320,EC-KDT,LFPO,LEBB,2026-05-29T04:39:14Z,2026-05-29T05:49:27Z
3fec127f,UX7161,AEA27GB,OVA,B738,EC-MVY,LEMD,LEBB,2026-05-29T05:05:53Z,2026-05-29T05:42:10Z
3fec12b5,HV5275,TRA275T,TRA,B738,PH-HXK,EHEH,LEBB,2026-05-29T05:02:11Z,2026-05-29T06:34:29Z
3fec13bb,TK1315,THY6ZN,THY,B38M,TC-LCO,LTFM,LEBB,2026-05-29T05:18:21Z,2026-05-29T09:00:40Z
3fec162d,V73534,VOE2GF,VOE,A320,EC-NOS,LEBB,LEAL,2026-05-29T04:49:08Z,2026-05-29T05:53:44Z
