fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
402961b6,E45617,ENT8EG,ENT,B738,SP-ENW,EPWR,LEBL,2026-06-13T00:15:13Z,2026-06-13T02:30:04Z
402966e2,AC820,ACA820,ACA,B77W,C-FIUR,CYYZ,LEBL,2026-06-13T00:24:51Z,2026-06-13T07:35:06Z
402966fb,DL194,DAL194,DAL,A333,N802NW,KATL,LEBL,2026-06-13T02:40:06Z,2026-06-13T11:02:30Z
40296a6b,AA40,AAL40,AAL,B788,N871AY,KORD,LEBL,2026-06-13T00:52:28Z,2026-06-13T08:35:15Z
40296ae4,AA112,AAL112,AAL,B772,N762AN,KMIA,LEBL,2026-06-13T00:37:54Z,2026-06-13T09:15:00Z
4029700e,UA992,UAL992,UAL,B788,N29907,KIAD,LEBL,2026-06-13T01:05:37Z,2026-06-13T08:23:47Z
40297a59,IB2630,LVL230K,LVL,A332,EC-OHY,KMIA,LEBL,2026-06-13T02:02:58Z,2026-06-13T10:51:29Z
40297c1d,EK256,UAE256,UAE,B77L,A6-EWE,MMMX,LEBL,2026-06-13T01:37:18Z,2026-06-13T12:12:24Z
402981b2,WS28,WJA28,WJA,B789,C-GYRS,CYYC,LEBL,2026-06-13T01:15:24Z,2026-06-13T10:34:07Z
40298256,UA672,UAL672,UAL,B772,N794UA,KSFO,LEBL,2026-06-13T01:39:28Z,2026-06-13T12:44:51Z
40299cbc,A3713,AEE713,AEE,A21N,SX-NAV,LEBL,LGAV,2026-06-13T01:52:19Z,2026-06-13T04:18:33Z
40299ee9,DL128,DAL128,DAL,A333,N823NW,KJFK,LEBL,2026-06-13T01:45:44Z,2026-06-13T08:53:40Z
40299f2e,AV180,AVA180,AVA,B788,N793AV,SKBO,LEBL,2026-06-13T02:02:00Z,2026-06-13T11:32:00Z
4029ab8a,TW407,TWB407,KAL,A332,HL8227,RKSI,LEBL,2026-06-13T02:41:10Z,2026-06-13T16:25:07Z
4029aef2,,,,GLF6,,,,2026-06-13T02:55:53Z,2026-06-13T03:44:43Z
4029b030,QY8030,BCS3LR,BCS,A306,D-AEAH,EDDP,LEBL,2026-06-13T02:27:27Z,2026-06-13T04:17:43Z
4029b5d0,J245,AHY045,AHY,A20N,VP-BBK,UBBB,LEBL,2026-06-13T03:02:04Z,2026-06-13T08:21:42Z
4029bd50,UA769,UAL769,UAL,B788,N26910,KORD,LEBL,2026-06-13T03:31:40Z,2026-06-13T11:26:24Z
4029bd7b,IB2610,LVL2610,LVL,A332,EC-NEN,SPJC,LEBL,2026-06-13T03:25:44Z,2026-06-13T15:24:21Z
4029c32f,OZ511,AAR511,AAR,A359,HL8078,RKSI,LEBL,2026-06-13T03:12:23Z,2026-06-13T16:32:08Z
4029f433,D84257,NSZ4257,NSZ,B738,SE-RPH,ESSA,LEBB,2026-06-13T04:35:20Z,2026-06-13T07:48:27Z
4029f616,UX7161,AEA27GB,OVA,B738,EC-MUZ,LEMD,LEBB,2026-06-13T04:40:58Z,2026-06-13T05:17:58Z
4029f6ef,VY3937,VLG5QN,VLG,A320,EC-JSY,LEPA,LEBB,2026-06-13T04:47:19Z,2026-06-13T05:47:40Z
4029f7c3,TK1315,THY6ZN,THY,B738,TC-JHY,LTFM,LEBB,2026-06-13T05:15:41Z,2026-06-13T09:01:02Z
4029faeb,V73568,VOE8NW,VOE,A320,EC-NTL,LEBB,LECH,2026-06-13T04:47:44Z,2026-06-13T05:45:40Z
4029fb36,VY3973,VLG3CW,VLG,A320,EC-JTQ,LEVC,LEBB,2026-06-13T04:51:38Z,2026-06-13T05:43:19Z
4029fec9,LH1147,DLH85N,DLH,A20N,D-AINZ,LEBB,EDDF,2026-06-13T05:00:55Z,2026-06-13T06:42:17Z
4029ff91,VY1470,VLG7QT,VLG,A320,EC-MQE,LEBB,EBBR,2026-06-13T04:58:52Z,2026-06-13T06:31:03Z
402a00bd,VY3280,VLG15FH,VLG,A320,EC-MVE,LEBB,GCRR,2026-06-13T05:04:21Z,2026-06-13T07:41:46Z
402a01a5,VY1420,VLG5PP,VLG,A21N,EC-NYC,LEBL,LEBB,2026-06-13T05:06:21Z,2026-06-13T05:58:36Z
402a02cc,KL1522,KLM98T,KLC,E190,PH-EZH,LEBB,EHAM,2026-06-13T05:06:49Z,2026-06-13T06:45:00Z
402a02b9,DY1744,NOZ44J,NOZ,B738,LN-NIP,ENGM,LEBB,2026-06-13T05:46:39Z,2026-06-13T08:40:02Z
402a053d,VY1423,VLG32LC,VLG,A320,EC-MKN,LEBB,LEBL,2026-06-13T05:02:43Z,2026-06-13T05:50:17Z
402a0727,VY1463,VLG883P,VLG,A320,EC-MAH,LFPO,LEBB,2026-06-13T05:07:03Z,2026-06-13T06:24:43Z
402a074c,LH1831,DLH99P,DLH,A320,D-AIUF,LEBB,EDDM,2026-06-13T05:26:54Z,2026-06-13T07:19:30Z
402a0ba2,V73512,VOE71UJ,VOE,A320,EC-NQM,LEBB,LEMG,2026-06-13T05:29:17Z,2026-06-13T06:41:07Z
402a0d13,AF1377,AFR38JF,HOP,E190,F-HBLM,LEBB,LFPG,2026-06-13T05:24:49Z,2026-06-13T06:45:21Z
402a0ed5,VY2511,VLG7KA,VLG,A320,EC-MVO,LEZL,LEBB,2026-06-13T05:32:01Z,2026-06-13T06:37:54Z
402a11a7,VY2800,VLG2800,VLG,A320,EC-KCU,LEBB,EGPH,2026-06-13T05:34:38Z,2026-06-13T07:40:27Z
402a1421,VY1454,VLG4MA,VLG,A320,EC-LVT,LEBB,LIMC,2026-06-13T05:38:39Z,2026-06-13T07:05:48Z
40297f8b,,,,GLEX,,,,2026-06-13T01:48:45Z,2026-06-13T11:49:54Z
40299222,,,,GLEX,,,,2026-06-13T02:57:48Z,2026-06-13T09:57:11Z
4029a5c8,,,,C25A,,,,2026-06-13T02:07:36Z,2026-06-13T02:33:05Z
4029be0c,4Y530,OCN23F,OCN,A320,D-AIUX,EDDF,LEIB,2026-06-13T03:02:47Z,2026-06-13T04:54:23Z
4029ca31,DE1500,CFG7FD,MBU,A20N,ES-MBB,EDDF,LEIB,2026-06-13T03:15:41Z,2026-06-13T05:11:59Z
4029d20e,EW544,EWG4TW,EWG,A319,D-AGWR,EDDK,LEIB,2026-06-13T03:22:01Z,2026-06-13T05:26:41Z
4029d676,HV5671,TRA79H,TRA,B738,PH-HZG,EHAM,LEIB,2026-06-13T03:38:49Z,2026-06-13T05:48:13Z
4029d8f0,,ANE002,ANE,CRJX,EC-OTG,LEMD,LEIB,2026-06-13T03:53:41Z,2026-06-13T04:41:37Z
4029d9da,FR615,RYR615,RYR,B738,EI-GSJ,LEVC,LEIB,2026-06-13T03:47:11Z,2026-06-13T04:13:12Z
4029da17,FR3028,RYR3028,RYR,B738,EI-DWP,LEBL,LEIB,2026-06-13T03:49:07Z,2026-06-13T04:27:25Z
4029dc4c,IB2434,ANE03YN,ANE,CRJX,EC-MNQ,LEVC,LEIB,2026-06-13T03:50:08Z,2026-06-13T04:17:11Z
4029dc0a,DE1868,CFG7RA,CFG,A321,D-ATCA,LSZH,LEIB,2026-06-13T04:48:10Z,2026-06-13T06:28:38Z
4029e041,OR1533,TFL3AW,TFL,B38M,PH-TFP,EHAM,LEIB,2026-06-13T03:59:16Z,2026-06-13T06:13:45Z
4029e1b9,DE1576,CFG5XW,BUC,A320,LZ-LAK,EDDM,LEIB,2026-06-13T04:04:30Z,2026-06-13T06:01:08Z
4029e1f8,FR8334,RYR8334,RYR,B38M,EI-IGI,LIME,LEIB,2026-06-13T04:04:35Z,2026-06-13T05:36:02Z
4029e5d2,FR8124,RYR8124,RYR,B738,EI-EVV,LFBO,LEIB,2026-06-13T04:09:36Z,2026-06-13T05:06:38Z
4029eb72,FR4921,RYR5PQ,RYR,B738,EI-ENP,EDFH,LEIB,2026-06-13T04:19:42Z,2026-06-13T06:10:34Z
4029effe,FR6616,RYR6616,RYR,B738,EI-DYW,LEAL,LEIB,2026-06-13T04:28:12Z,2026-06-13T04:50:31Z
4029f2c9,HV5689,TRA19V,TRA,B738,PH-HZW,EHRD,LEIB,2026-06-13T05:00:50Z,2026-06-13T07:09:15Z
4029f31c,FR8830,RYR311G,RYR,B38M,EI-HEY,LEIB,LIPH,2026-06-13T04:28:57Z,2026-06-13T06:06:24Z
402a1a46,NT300,RSC18ZJ,RSC,AT76,EC-NDD,GCLP,GCLA,2026-06-13T05:48:54Z,2026-06-13T06:31:47Z
402a2220,NT603,RSC33MY,IBB,AT76,EC-MYT,GCLA,GCXO,2026-06-13T06:03:05Z,2026-06-13T06:29:40Z
402a2241,NT600,RSC600,RSC,AT76,EC-MOL,GCXO,GCLA,2026-06-13T06:12:24Z,2026-06-13T06:37:40Z
402a225e,NT305,RSC50BC,RSC,AT76,EC-MSJ,GCLA,GCLP,2026-06-13T06:05:57Z,2026-06-13T06:50:04Z
402a2f84,NT602,RSC8ZZ,RSC,AT76,EC-NGF,GCXO,GCLA,2026-06-13T06:34:15Z,2026-06-13T06:58:13Z
402a3780,PM412,CNF412S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-13T06:50:22Z,2026-06-13T07:15:45Z
402a3a98,NT604,NAY2SY,NAY,AT76,EC-OAN,GCXO,GCLA,2026-06-13T06:53:32Z,2026-06-13T07:18:49Z
402a427d,NT605,RSC2YB,RSC,AT76,EC-MOL,GCLA,GCXO,2026-06-13T07:09:25Z,2026-06-13T07:37:45Z
402a4d6b,NT607,RSC73MZ,RSC,AT76,EC-NGF,GCLA,GCXO,2026-06-13T07:29:44Z,2026-06-13T07:58:31Z
402a5450,PM413,CNF413S,CNF,AT75,EC-MUJ,GCLA,GCXO,2026-06-13T07:42:55Z,2026-06-13T08:09:17Z
402a559a,NT307,RSC53MK,RSC,AT76,EC-NDD,GCLA,GCLP,2026-06-13T07:45:38Z,2026-06-13T08:26:34Z
402a5bb6,NT609,NAY609,NAY,AT76,EC-OAN,GCLA,GCXO,2026-06-13T07:55:29Z,2026-06-13T08:22:50Z
402a6628,NT610,RSC74ZZ,RSC,AT76,EC-MOL,GCXO,GCLA,2026-06-13T08:16:00Z,2026-06-13T08:41:11Z
402a76a9,NT760,RSC760,RSC,AT76,EC-MSJ,GCTS,GCLA,2026-06-13T08:40:14Z,2026-06-13T09:07:17Z
402a77bc,PM418,CNF418S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-13T08:44:51Z,2026-06-13T09:12:02Z
402a8641,NT616,NAY31XL,NAY,AT76,EC-OAM,GCXO,GCLA,2026-06-13T09:12:21Z,2026-06-13T09:36:13Z
402a895e,NT308,NAY83XR,NAY,AT76,EC-OCL,GCLP,GCLA,2026-06-13T09:12:47Z,2026-06-13T09:58:04Z
402a8acc,NT617,RSC32VP,RSC,AT76,EC-MOL,GCLA,GCXO,2026-06-13T09:14:06Z,2026-06-13T09:41:03Z
402a91c9,IB1531,IBS15HV,IBS,A320,EC-JFN,LEMD,GCLA,2026-06-13T09:50:28Z,2026-06-13T12:23:02Z
402a96e4,NT763,RSC75UH,RSC,AT76,EC-MSJ,GCLA,GCTS,2026-06-13T09:32:43Z,2026-06-13T09:57:08Z
40296461,UA260,UAL260,UAL,B764,N69059,KIAD,LEMD,2026-06-13T00:12:53Z,2026-06-13T07:25:36Z
40296506,IB346,IBE03ZD,IBE,A333,EC-LZX,KBOS,LEMD,2026-06-13T01:38:52Z,2026-06-13T08:11:42Z
40296f5e,AV47,AVA047,AVA,B788,N796AV,LEMD,SKBO,2026-06-13T00:36:14Z,2026-06-13T10:15:14Z
40296fe4,AD8754,AZU8754,MMZ,A332,CS-TGD,SBKP,LEMD,2026-06-13T00:47:14Z,2026-06-13T10:29:42Z
4029706e,AA740,AAL740,AAL,B788,N879BH,KPHL,LEMD,2026-06-13T00:43:15Z,2026-06-13T07:23:08Z
402971da,AEG472,AEG472,AEG,SF34,ES-LSG,LEMD,EDSB,2026-06-13T00:39:03Z,2026-06-13T04:01:35Z
402973fb,CA898,CCA898,CCA,B789,B-7898,LEMD,ZBAA,2026-06-13T00:55:00Z,2026-06-13T11:45:13Z
40297418,QY8464,BCS10K,BCS,A306,D-AEAS,EDDP,LEMD,2026-06-13T02:22:41Z,2026-06-13T04:41:51Z
402973ec,LA8076,TAM8076,LAN,B789,CC-BGE,SBGR,LEMD,2026-06-13T00:55:10Z,2026-06-13T10:26:24Z
40297529,UA51,UAL51,UAL,B764,N66051,KEWR,LEMD,2026-06-13T01:15:54Z,2026-06-13T08:03:24Z
40297795,IB155,IBE0155,IBE,A359,EC-NXE,LEMD,SKBO,2026-06-13T00:49:16Z,2026-06-13T10:44:06Z
40297899,IB306,IBE0306,IBE,A332,EC-MNL,MMMY,LEMD,2026-06-13T00:56:40Z,2026-06-13T10:56:53Z
402978fe,DL126,DAL126,DAL,A333,N819NW,KJFK,LEMD,2026-06-13T01:16:24Z,2026-06-13T07:56:07Z
402978b8,B62261,JBU2261,JBU,A21N,N4076J,KBOS,LEMD,2026-06-13T02:51:37Z,2026-06-13T09:21:32Z
40297ab9,UX84,AEA084,AEA,B788,EC-NXA,SBSV,LEMD,2026-06-13T00:53:26Z,2026-06-13T08:50:29Z
40297b14,,XTX154H,XTX,C560,EC-GOV,LESA,LEMD,2026-06-13T00:44:53Z,2026-06-13T01:11:46Z
40297dd5,QY8462,BCS8462,DHA,B752,OE-LNX,EDDP,LEMD,2026-06-13T01:03:46Z,2026-06-13T03:26:57Z
40297f31,IB264,IBE0264,IBE,A332,EC-MLP,MDSD,LEMD,2026-06-13T01:50:45Z,2026-06-13T09:35:51Z
40298117,IB326,IBE03KE,IBE,A359,EC-OOL,KJFK,LEMD,2026-06-13T01:48:47Z,2026-06-13T08:24:46Z
40298261,IB108,IBE0108,IBE,A359,EC-NLP,SAEZ,LEMD,2026-06-13T01:06:01Z,2026-06-13T12:26:56Z
40297d26,LAV2158,LAV2158,LAV,B738,EC-NAB,LRIA,LEPA,2026-06-13T00:55:25Z,2026-06-13T03:52:04Z
40299e1a,X32735,TUI5GA,TUI,B738,D-ATUN,LEPA,EDDS,2026-06-13T02:22:17Z,2026-06-13T04:04:40Z
4029a3c2,EW6863,EWG31G,EWL,A320,9H-EUR,EDDE,LEPA,2026-06-13T02:03:04Z,2026-06-13T04:09:58Z
4029a40e,WT101,SWT101,SWT,AT72,EC-IYH,LEMD,LEPA,2026-06-13T02:11:23Z,2026-06-13T03:31:13Z
4029a4cc,EW6815,EWG53L,EWL,A320,9H-EUS,EDDN,LEPA,2026-06-13T02:02:30Z,2026-06-13T03:54:59Z
