fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
4010aae7,A3713,AEE713,AEE,A21N,SX-NAL,LEBL,LGAV,2026-06-07T00:15:23Z,2026-06-07T02:36:33Z
4010b77a,AA40,AAL40,AAL,B788,N808AN,KORD,LEBL,2026-06-07T01:03:09Z,2026-06-07T08:38:16Z
4010c162,AC820,ACA820,ACA,B77W,C-FIUR,CYYZ,LEBL,2026-06-07T01:00:22Z,2026-06-07T07:44:31Z
4010c179,EK256,UAE256,UAE,B77L,A6-EWI,MMMX,LEBL,2026-06-07T01:11:57Z,2026-06-07T11:22:11Z
4010c362,UA672,UAL672,UAL,B772,N74007,KSFO,LEBL,2026-06-07T01:11:53Z,2026-06-07T11:42:53Z
4010ca24,3Z7319,TVP7319,TVS,B38M,OK-SWI,LEBL,EPWA,2026-06-07T01:19:31Z,2026-06-07T03:41:23Z
4010ca8c,VY8105,VLG448P,VLG,A320,EC-MBY,LGAV,LEBL,2026-06-07T01:17:13Z,2026-06-07T04:03:27Z
4010ccbf,WS28,WJA28,WJA,B789,C-GUDH,CYYC,LEBL,2026-06-07T01:23:48Z,2026-06-07T10:19:08Z
4010cd51,UX923,AEA923,OVA,B738,EC-MUZ,LEBL,LEMD,2026-06-07T01:16:54Z,2026-06-07T02:07:27Z
4010db75,AV180,AVA180,AVA,B788,N781AV,SKBO,LEBL,2026-06-07T01:56:36Z,2026-06-07T11:30:10Z
4010e460,DL194,DAL194,DAL,A333,N805NW,KATL,LEBL,2026-06-07T02:09:14Z,2026-06-07T10:08:03Z
4010f91a,J245,AHY045,AHY,A319,4K-AZ04,UBBB,LEBL,2026-06-07T02:50:20Z,2026-06-07T08:14:36Z
4010fd76,LY393,ELY393,ELY,B738,4X-EKK,LLBG,LEBL,2026-06-07T03:08:43Z,2026-06-07T07:20:20Z
40110487,W43175,WMT3796,WZZ,A321,HA-LTD,LROP,LEBL,2026-06-07T03:27:41Z,2026-06-07T06:29:24Z
40110711,FR6301,RYR8AA,RYS,B738,SP-RKS,LBSF,LEBL,2026-06-07T03:20:06Z,2026-06-07T06:07:42Z
40110758,CY322,CYP322,CYP,BCS3,5B-DEA,LCLK,LEBL,2026-06-07T03:57:28Z,2026-06-07T07:49:28Z
401108df,UA769,UAL769,UAL,B788,N30913,KORD,LEBL,2026-06-07T03:39:08Z,2026-06-07T11:08:33Z
40110e0f,W62047,WZZ194,WMT,A21N,9H-WNU,EPKK,LEBL,2026-06-07T03:36:15Z,2026-06-07T06:09:30Z
40110e7e,DL128,DAL128,DAL,A333,N808NW,KJFK,LEBL,2026-06-07T04:08:02Z,2026-06-07T10:48:15Z
40111233,FR8393,RYR3YY,RYS,B38M,SP-RZN,LHBP,LEBL,2026-06-07T03:47:33Z,2026-06-07T06:15:17Z
4010d02d,UA633,UAL633,UAL,B752,N17133,KEWR,LEBB,2026-06-07T03:02:26Z,2026-06-07T09:01:56Z
40112c8b,WK226,EDW721D,EDW,A320,HB-JLS,LSZH,LEBB,2026-06-07T04:43:55Z,2026-06-07T06:18:36Z
40112e5e,UX7161,AEA27GB,OVA,B738,EC-MVY,LEMD,LEBB,2026-06-07T04:43:52Z,2026-06-07T05:18:46Z
40113366,V73522,VOE59KE,VOE,A320,EC-NQM,LEBB,GCTS,2026-06-07T04:52:51Z,2026-06-07T07:38:19Z
4011341b,LH1147,DLH85N,DLH,A20N,D-AINV,LEBB,EDDF,2026-06-07T05:03:10Z,2026-06-07T06:54:08Z
401134b1,VY3937,VLG5QN,VLG,A320,EC-JYX,LEPA,LEBB,2026-06-07T04:57:39Z,2026-06-07T06:06:23Z
401134df,VY1420,VLG5PP,VLG,A320,EC-MGE,LEBL,LEBB,2026-06-07T05:08:53Z,2026-06-07T05:56:27Z
4011353a,U23731,EJU56NB,EJU,A320,OE-IJQ,LIMC,LEBB,2026-06-07T04:58:58Z,2026-06-07T06:39:26Z
4011362d,VY3280,VLG15FH,VLG,A320,EC-LVT,LEBB,GCRR,2026-06-07T05:07:34Z,2026-06-07T07:33:34Z
4011363a,,ECEKX,,C172,EC-EKX,LEBB,LEBB,2026-06-07T05:04:13Z,2026-06-07T05:36:05Z
4011369c,VY3290,VLG2BZ,VLG,A320,EC-LLJ,LEBB,GCXO,2026-06-07T05:00:41Z,2026-06-07T07:40:42Z
401138d1,VY3972,VLG3972,VLG,A320,EC-KHN,LEBB,LEVC,2026-06-07T05:11:52Z,2026-06-07T06:02:48Z
401138bc,HV5275,TRA275T,TRA,B738,PH-HSJ,EHEH,LEBB,2026-06-07T05:06:41Z,2026-06-07T06:45:09Z
40113960,KL1522,KLM98T,KLC,E190,PH-EXV,LEBB,EHAM,2026-06-07T05:06:01Z,2026-06-07T06:47:10Z
40113b5c,VY1423,VLG32LC,VLG,A320,EC-JSY,LEBB,LEBL,2026-06-07T05:09:13Z,2026-06-07T06:00:22Z
40113d3c,D83708,NSZ3708,NSZ,B38M,SE-NAD,EKCH,LEBB,2026-06-07T05:23:28Z,2026-06-07T07:52:43Z
40113ebc,VY2611,VLG7EB,VLG,A320,EC-MLE,LEBB,LEMG,2026-06-07T05:22:55Z,2026-06-07T06:30:50Z
40113f6d,V73534,VOE2GF,VOE,A320,EC-NOS,LEBB,LEAL,2026-06-07T05:17:39Z,2026-06-07T06:22:13Z
401143ab,VY2511,VLG7KA,VLG,A320,EC-MOG,LEZL,LEBB,2026-06-07T05:28:54Z,2026-06-07T06:34:18Z
4011445d,VY3272,VLG1JR,VLG,A320,EC-OJF,LEBB,GCLP,2026-06-07T05:28:29Z,2026-06-07T08:08:41Z
4010dc4a,A2630,AWG630X,AWG,BCS3,YR-CHR,LROP,LEIB,2026-06-07T02:07:20Z,2026-06-07T05:24:30Z
40111274,FR3028,RYR3028,RYR,B738,EI-ENP,LEBL,LEIB,2026-06-07T03:49:04Z,2026-06-07T04:28:00Z
401113d4,FR6616,RYR6616,RYR,B38M,EI-IHW,LEAL,LEIB,2026-06-07T03:52:37Z,2026-06-07T04:15:47Z
4011158e,NO7142,NOS46RP,NOS,B738,I-NEOU,LIPX,LEIB,2026-06-07T03:51:42Z,2026-06-07T05:36:20Z
401117e9,W46235,WMT8812,WMT,A21N,9H-WMC,LIRF,LEIB,2026-06-07T04:02:16Z,2026-06-07T05:39:43Z
40111873,U23735,EJU18WZ,EJU,A320,OE-IJV,LIMC,LEIB,2026-06-07T04:05:48Z,2026-06-07T05:42:41Z
40111b69,FR8334,RYR8334,RYR,B38M,EI-IJD,LIME,LEIB,2026-06-07T04:07:38Z,2026-06-07T05:45:48Z
40111b6b,HV5675,TRA75K,TRA,B738,PH-HXM,EHAM,LEIB,2026-06-07T04:02:57Z,2026-06-07T06:22:56Z
40111c0c,SN3777,BEL6JW,BEL,A320,OO-TCQ,EBBR,LEIB,2026-06-07T04:07:30Z,2026-06-07T06:20:41Z
40111e91,FR3811,RYR520K,MAY,B738,9H-QEC,LIPE,LEIB,2026-06-07T04:10:45Z,2026-06-07T05:49:26Z
40112179,IB1693,IBS1693,IBS,A320,EC-LUS,LEMD,LEIB,2026-06-07T04:21:04Z,2026-06-07T05:06:38Z
40112204,VY6936,VLG6936,VLG,A320,EC-LOC,LFPO,LEIB,2026-06-07T05:21:31Z,2026-06-07T07:04:38Z
40112567,EW9500,EWG59H,EWL,A320,9H-EWI,EDDL,LEIB,2026-06-07T04:26:39Z,2026-06-07T06:40:58Z
401127ee,,ANE002,ANE,CRJX,EC-OSN,LEMD,LEIB,2026-06-07T04:34:24Z,2026-06-07T05:19:31Z
401128bd,U28099,EZY52LD,EZY,A320,G-EJCR,EGKK,LEIB,2026-06-07T04:30:36Z,2026-06-07T06:34:58Z
40112b35,IB2516,ANE2516,ANE,AT76,EC-LRH,LEPA,LEIB,2026-06-07T04:39:38Z,2026-06-07T05:15:36Z
40112d45,FR8873,RYR9ZH,RYR,B38M,EI-HGO,LEIB,LIBD,2026-06-07T04:41:56Z,2026-06-07T06:27:38Z
40112e4f,IB2432,ANE14HJ,ANE,CRJX,EC-MQQ,LEVC,LEIB,2026-06-07T04:43:39Z,2026-06-07T05:10:52Z
401130a1,FR8264,RYR25WC,RYR,B38M,EI-IKR,EGGD,LEIB,2026-06-07T04:52:32Z,2026-06-07T06:58:04Z
401130a8,HV5689,TRA19V,TRA,B738,PH-HSK,EHRD,LEIB,2026-06-07T05:05:05Z,2026-06-07T07:17:23Z
40115571,NT600,NAY600,NAY,AT76,EC-OAM,GCXO,GCLA,2026-06-07T06:07:53Z,2026-06-07T06:32:02Z
4011560b,NT305,RSC50BC,RSC,AT76,EC-MJG,GCLA,GCLP,2026-06-07T06:02:43Z,2026-06-07T06:46:09Z
4011565a,NT603,RSC33MY,RSC,AT76,EC-MNN,GCLA,GCXO,2026-06-07T06:05:19Z,2026-06-07T06:33:54Z
4011613b,NT300,NAY18ZJ,NAY,AT76,EC-OCL,GCLP,GCLA,2026-06-07T06:24:17Z,2026-06-07T07:04:14Z
401162b6,NT602,RSC8ZZ,RSC,AT76,EC-NDD,GCXO,GCLA,2026-06-07T06:30:07Z,2026-06-07T06:52:39Z
4011697a,PM412,CNF412S,CNF,AT75,EC-MSM,GCXO,GCLA,2026-06-07T06:44:28Z,2026-06-07T07:10:02Z
401171ea,NT604,RSC2SY,RSC,AT76,EC-NJK,GCXO,GCLA,2026-06-07T07:00:44Z,2026-06-07T07:23:19Z
40117334,NT605,NAY2YB,NAY,AT76,EC-OAM,GCLA,GCXO,2026-06-07T07:01:22Z,2026-06-07T07:34:20Z
40117f77,NT607,RSC73MZ,RSC,AT76,EC-NDD,GCLA,GCXO,2026-06-07T07:27:15Z,2026-06-07T07:54:49Z
40118496,NT307,NAY53MK,NAY,AT76,EC-OCL,GCLA,GCLP,2026-06-07T07:36:29Z,2026-06-07T08:20:30Z
401185b6,PM413,CNF413S,CNF,AT75,EC-MSM,GCLA,GCXO,2026-06-07T07:39:18Z,2026-06-07T08:11:47Z
40118e54,NT609,RSC609,RSC,AT76,EC-NJK,GCLA,GCXO,2026-06-07T07:53:54Z,2026-06-07T08:23:00Z
4011949b,NT610,NAY74ZZ,NAY,AT76,EC-OAM,GCXO,GCLA,2026-06-07T08:12:23Z,2026-06-07T08:36:31Z
4011aaaa,PM418,CNF418S,CNF,AT75,EC-MSM,GCXO,GCLA,2026-06-07T08:41:58Z,2026-06-07T09:04:04Z
4011adcd,NT760,NAY760,NAY,AT76,EC-NQR,GCTS,GCLA,2026-06-07T08:46:10Z,2026-06-07T09:15:47Z
4011b6b4,NT616,NAY31XL,NAY,AT76,EC-NGG,GCXO,GCLA,2026-06-07T09:17:14Z,2026-06-07T09:40:31Z
4011ba6c,NT617,NAY32VP,NAY,AT76,EC-OAM,GCLA,GCXO,2026-06-07T09:06:31Z,2026-06-07T09:34:45Z
4011bb44,NT308,RSC83XR,RSC,AT76,EC-MTQ,GCLP,GCLA,2026-06-07T09:13:46Z,2026-06-07T09:54:50Z
4011d37d,PM419,CNF419S,CNF,AT75,EC-MSM,GCLA,GCXO,2026-06-07T09:44:43Z,2026-06-07T10:11:31Z
4011d7a4,NT763,NAY75UH,NAY,AT76,EC-NQR,GCLA,GCTS,2026-06-07T09:50:12Z,2026-06-07T10:13:24Z
4010ac99,LA8076,TAM8076,LAN,B789,CC-BMA,SBGR,LEMD,2026-06-07T00:44:21Z,2026-06-07T10:04:43Z
4010b03e,AV47,AVA047,AVA,B788,N796AV,LEMD,SKBO,2026-06-07T00:26:07Z,2026-06-07T10:03:47Z
4010b03f,OB776,BOV776,BOV,A332,CP-3214,SLVR,LEMD,2026-06-07T00:27:38Z,2026-06-07T11:06:38Z
4010b128,AA740,AAL740,AAL,B788,N883BM,KPHL,LEMD,2026-06-07T00:47:44Z,2026-06-07T07:02:24Z
4010b3a2,DL126,DAL126,DAL,A333,N809NW,KJFK,LEMD,2026-06-07T01:09:20Z,2026-06-07T07:26:07Z
4010b535,IB155,IBE0155,IBE,A359,EC-OES,LEMD,SKBO,2026-06-07T00:34:23Z,2026-06-07T10:06:28Z
4010bbd4,UX1116,AEA1116,AEA,B38M,EC-OPY,DTTA,LEMD,2026-06-07T00:46:24Z,2026-06-07T02:33:50Z
4010bcba,AC824,ACA824,ACA,A333,C-GEFA,CYYZ,LEMD,2026-06-07T00:53:32Z,2026-06-07T07:32:31Z
4010bf10,IB380,IBE03PB,IBE,A333,EC-LZX,TJSJ,LEMD,2026-06-07T00:57:43Z,2026-06-07T08:18:27Z
4010c281,IB170,IBE0170,IBE,A332,EC-MSY,SUMU,LEMD,2026-06-07T01:02:12Z,2026-06-07T12:29:24Z
4010c2e4,IB108,IBE0108,IBE,A359,EC-NIG,SAEZ,LEMD,2026-06-07T01:08:29Z,2026-06-07T12:17:06Z
4010c3ae,IB352,IBE0352,IBE,A359,EC-MYX,KLAX,LEMD,2026-06-07T01:06:09Z,2026-06-07T11:04:56Z
4010c91b,IB326,IBE03KE,IBE,A359,EC-OCR,KJFK,LEMD,2026-06-07T01:46:09Z,2026-06-07T07:47:13Z
4010ca52,E9802,EVE802,EVE,A333,EC-MII,MDPC,LEMD,2026-06-07T01:21:56Z,2026-06-07T08:53:36Z
4010cabc,KE913,KAL913,KAL,B78X,HL8537,RKSI,LEMD,2026-06-07T01:24:27Z,2026-06-07T15:47:37Z
4010cab0,IB264,IBE0264,IBE,A21N,EC-OQH,MDSD,LEMD,2026-06-07T01:06:42Z,2026-06-07T08:45:13Z
4010cbcf,UX88,AEA088,AEA,B789,EC-OFO,MDSD,LEMD,2026-06-07T01:20:50Z,2026-06-07T08:37:32Z
4010cc51,IB356,IBE0356,IBE,A332,EC-MOY,KSFO,LEMD,2026-06-07T01:18:46Z,2026-06-07T11:31:47Z
4010cd8d,UX120,AEA120,AEA,B789,EC-NFM,MDST,LEMD,2026-06-07T01:33:06Z,2026-06-07T08:47:20Z
4010b1dc,E41375,ENT4JH,ENT,B38M,SP-EXI,EPKT,LEPA,2026-06-07T00:29:30Z,2026-06-07T03:06:11Z
4010baef,E45905,ENT8TH,ENT,B738,SP-ESL,EPWR,LEPA,2026-06-07T00:49:00Z,2026-06-07T03:17:16Z
4010ce1c,EW3592,EWG55DU,EWL,A320,9H-EUT,EDDV,LEPA,2026-06-07T01:22:09Z,2026-06-07T03:33:11Z
4010d301,BY2673,TOM8LG,TOM,B738,G-TUKX,LEPA,EGCC,2026-06-07T01:25:46Z,2026-06-07T03:36:39Z
4010d459,,RYS78R,RYS,B738,SP-RSP,LEPA,EPKK,2026-06-07T01:34:31Z,2026-06-07T03:55:34Z
4010d784,EW6815,EWG53L,EWL,A320,9H-EUS,EDDN,LEPA,2026-06-07T01:38:15Z,2026-06-07T03:30:37Z
4010e985,EW580,EWG4LQ,TVS,B738,OK-TVT,EDDK,LEPA,2026-06-07T02:35:26Z,2026-06-07T04:33:55Z
4010f2a9,DE1602,CFG3UF,HST,A320,LY-VUT,EDDG,LEPA,2026-06-07T02:38:41Z,2026-06-07T04:51:10Z
4010f2a0,DI6034,MBU5AW,MBU,A20N,ES-MBU,EDDN,LEPA,2026-06-07T02:39:46Z,2026-06-07T04:39:30Z
4010f4b2,A24310,AWG4310,AWG,A320,YR-AGC,LROP,LEPA,2026-06-07T02:54:20Z,2026-06-07T05:53:57Z
4010f8fb,DE1772,CFG8WK,CFG,A21N,D-ANLB,EDDF,LEPA,2026-06-07T03:02:29Z,2026-06-07T04:54:19Z
4011014c,IB1653,IBS16SG,IBS,A320,EC-LAA,LEMD,LEPA,2026-06-07T03:07:44Z,2026-06-07T04:00:56Z
40110139,DE1502,CFG1YZ,CFG,A21N,D-ANMY,EDDF,LEPA,2026-06-07T03:11:33Z,2026-06-07T05:02:43Z
40110264,EW6809,EWG42M,EWL,A320,9H-EUO,EDLP,LEPA,2026-06-07T03:08:56Z,2026-06-07T05:19:13Z
401102ef,EW3590,EWG77PM,EWL,A320,9H-EWD,EDDV,LEPA,2026-06-07T03:13:40Z,2026-06-07T05:32:20Z
401103de,,,,GLEX,,,,2026-06-07T03:03:12Z,2026-06-07T03:54:56Z
40110649,EW6823,EWG9TZ,EWL,A320,9H-EUV,EDDG,LEPA,2026-06-07T03:15:58Z,2026-06-07T05:25:25Z
401106d2,X32128,TUI3WL,TUI,B738,D-ATYL,EDDF,LEPA,2026-06-07T03:20:09Z,2026-06-07T05:13:31Z
40110746,EW584,EWG87Q,EWG,A320,D-AEWP,EDDK,LEPA,2026-06-07T03:19:47Z,2026-06-07T05:21:38Z
401108eb,EW582,EWG22FU,EWG,A320,D-ABZL,EDDK,LEPA,2026-06-07T03:38:41Z,2026-06-07T05:38:02Z
40111395,FR9894,RYR9894,RYS,B38M,SP-RZS,LHBP,LEZL,2026-06-07T03:49:32Z,2026-06-07T07:01:51Z
401114d2,FR2205,RYR7WV,RYR,B738,EI-EFX,LEVC,LEZL,2026-06-07T03:51:49Z,2026-06-07T04:43:44Z
40111704,W46039,WMT3303,WMT,A21N,9H-WMJ,LIRF,LEZL,2026-06-07T04:06:05Z,2026-06-07T06:30:01Z
4011214e,FR9775,RYR9775,RYS,B738,SP-RSO,EPWR,LEZL,2026-06-07T04:18:11Z,2026-06-07T07:36:38Z
4011259a,U21301,EJU91PC,EZS,A320,HB-JZY,LSGG,LEZL,2026-06-07T04:25:42Z,2026-06-07T06:27:30Z
40112a37,FR3629,RYR9PX,RYR,B738,EI-EGB,LEZL,LPPT,2026-06-07T04:40:19Z,2026-06-07T05:21:33Z
40112b75,FR6761,RYR9CK,MAY,B738,9H-QAL,LEZL,EGPH,2026-06-07T04:38:16Z,2026-06-07T07:23:31Z
40112c09,TP1107,TAP11VP,PGA,E190,CS-TPS,LEZL,LPPT,2026-06-07T04:42:16Z,2026-06-07T05:25:12Z
40112ee2,FR2035,RYR56DW,RYR,B738,EI-ENI,LEZL,LEVT,2026-06-07T04:45:19Z,2026-06-07T05:44:31Z
40113091,FR1246,RYR1246,RYR,B738,EI-EFK,LEZL,LFOB,2026-06-07T04:50:42Z,2026-06-07T06:59:40Z
40113122,VY2213,VLG2213,VLG,A320,EC-OQC,LEZL,LEBL,2026-06-07T04:47:35Z,2026-06-07T06:12:40Z
401131a7,V72686,VOE2686,VOE,A320,EC-MVH,LFQQ,LEZL,2026-06-07T04:46:35Z,2026-06-07T07:04:12Z
401132db,FR1313,RYR7FF,RYS,B38M,SP-RZL,EPKK,LEZL,2026-06-07T04:59:38Z,2026-06-07T08:24:29Z
40113695,VY3250,VLG4UD,VLG,A320,EC-ODL,LEZL,GCXO,2026-06-07T05:00:54Z,2026-06-07T06:53:23Z
40113889,AF1223,AFR88GX,HOP,E170,F-HBXH,LEZL,LFPG,2026-06-07T05:11:58Z,2026-06-07T07:17:37Z
40113aac,FR9379,RYR32FV,MAY,B738,9H-QCZ,LEZL,EGBB,2026-06-07T05:16:26Z,2026-06-07T07:47:28Z
40113ce2,VY8220,VLG8LH,VLG,A320,EC-NUP,LEZL,LFPO,2026-06-07T05:14:02Z,2026-06-07T07:18:13Z
40113cd6,VY6015,VLG1ZJ,VLG,A320,EC-KRH,LEZL,EGKK,2026-06-07T05:05:48Z,2026-06-07T07:28:03Z
40113d04,VY3940,VLG2VZ,VLG,A20N,EC-NDA,LEPA,LEZL,2026-06-07T05:09:31Z,2026-06-07T06:21:42Z
40113d44,FR2703,RYR83FG,MAY,B738,9H-QCS,EIDW,LEZL,2026-06-07T05:22:35Z,2026-06-07T07:45:22Z
40111228,FR7372,RYR7372,MAY,B738,9H-QBB,LEVC,LEPA,2026-06-07T03:49:01Z,2026-06-07T04:18:46Z
40111497,FR4742,RYR4DM,MAY,B738,9H-QEF,LEVC,EPPO,2026-06-07T03:53:44Z,2026-06-07T06:23:45Z
401114d3,TK1301,THY8CX,THY,A21N,TC-LTF,LTFM,LEVC,2026-06-07T04:20:05Z,2026-06-07T07:54:17Z
4011153e,W61337,WZZ43VE,WMT,A21N,9H-WAZ,EPWA,LEVC,2026-06-07T03:52:53Z,2026-06-07T07:07:35Z
401118a8,FR620,RYR91KF,MAY,B738,9H-QBO,LIPE,LEVC,2026-06-07T04:03:00Z,2026-06-07T05:44:50Z
40111910,FR1093,RYR67NG,RYR,B38M,EI-IJE,LEVC,EGPH,2026-06-07T04:03:03Z,2026-06-07T06:35:42Z
40111932,FR2216,RYR7SJ,RYR,B738,EI-GSK,LEVC,GMMX,2026-06-07T04:05:10Z,2026-06-07T05:38:34Z
40111b59,LH1165,DLH11A,DLH,A321,D-AIDC,LEVC,EDDF,2026-06-07T04:07:10Z,2026-06-07T06:08:07Z
40111c8b,W62079,WZZ8Z,WMT,A21N,9H-WNS,EPKK,LEVC,2026-06-07T04:07:18Z,2026-06-07T07:05:22Z
40111cac,TP1097,TAP1097,PGA,E190,CS-TPQ,LEVC,LPPT,2026-06-07T04:11:35Z,2026-06-07T05:27:39Z
40111ff3,LX2147,SWR3AP,SWR,A21N,HB-JPB,LEVC,LSZH,2026-06-07T04:34:55Z,2026-06-07T06:19:57Z
4011205e,FR2300,RYR81CK,RYR,B738,EI-EFG,LEVC,LHBP,2026-06-07T04:15:05Z,2026-06-07T06:39:03Z
401123ae,IB1086,ANE660K,ANE,CRJX,EC-MJQ,LEVC,LEMD,2026-06-07T04:21:00Z,2026-06-07T04:52:39Z
40112732,FR1734,RYR6FA,MAY,B738,9H-QDF,ESSA,LEVC,2026-06-07T04:31:56Z,2026-06-07T08:02:28Z
40112a3f,IB1084,ANE1084,ANE,CRJX,EC-MLO,LEVC,LEMD,2026-06-07T04:36:58Z,2026-06-07T05:08:26Z
40112b0e,V72436,VOE9NV,VOE,A320,EC-NTL,LFBD,LEVC,2026-06-07T04:29:16Z,2026-06-07T05:33:41Z
40112b5f,HV6331,TRA17C,TRA,A21N,PH-YHQ,EHAM,LEVC,2026-06-07T04:49:50Z,2026-06-07T06:54:48Z
4011305b,HV6441,TRA41A,MLH,A320,9H-SWJ,EHRD,LEVC,2026-06-07T05:54:33Z,2026-06-07T07:59:17Z
