fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
4030dcde,A3713,AEE713,AEE,A21N,SX-NAL,LEBL,LGAV,2026-06-15T00:20:30Z,2026-06-15T02:39:04Z
4030e0ce,QY8030,BCS3LR,DHA,B752,OE-LNB,EDDP,LEBL,2026-06-15T00:21:47Z,2026-06-15T02:23:11Z
4030e8fc,FR6378,RYR54C,MAY,B738,9H-QAR,LEBL,LEPA,2026-06-15T00:35:29Z,2026-06-15T01:01:50Z
4030ee69,,N797PG,,F2TH,N797PG,LEBL,EINN,2026-06-15T00:32:47Z,2026-06-15T02:39:47Z
4030f3d4,5X242,UPS242,UPS,B763,N395UP,EDDK,LEBL,2026-06-15T00:56:35Z,2026-06-15T02:38:04Z
4030f4de,UA672,UAL672,UAL,B772,N798UA,KSFO,LEBL,2026-06-15T01:38:02Z,2026-06-15T12:37:46Z
4030fe7f,VY8105,VLG448P,VLG,A320,EC-MAN,LGAV,LEBL,2026-06-15T01:07:28Z,2026-06-15T03:57:30Z
40310858,,N162QS,EJA,GLEX,N162QS,KORD,LEBL,2026-06-15T02:58:43Z,2026-06-15T10:42:02Z
40310917,EK256,UAE256,UAE,B77L,A6-EWG,MMMX,LEBL,2026-06-15T01:43:30Z,2026-06-15T12:09:06Z
40310c7d,IB2630,LVL230K,LVL,A332,EC-ODA,KMIA,LEBL,2026-06-15T02:25:23Z,2026-06-15T11:15:20Z
40310ea7,VY2575,VLG4BH,VLG,A320,EC-MKM,LGMK,LEBL,2026-06-15T01:46:00Z,2026-06-15T04:39:36Z
40310f1d,AV180,AVA180,AVA,B788,N791AV,SKBO,LEBL,2026-06-15T01:53:39Z,2026-06-15T11:26:56Z
403119ad,AA40,AAL40,AAL,B788,N886BR,KORD,LEBL,2026-06-15T02:11:30Z,2026-06-15T09:58:11Z
40311b9a,DL194,DAL194,DAL,A333,N831NW,KATL,LEBL,2026-06-15T04:40:32Z,2026-06-15T12:56:41Z
40312422,QRJ1,QRJ01,QRJ,,,LEBL,LFLL,2026-06-15T02:27:52Z,2026-06-15T03:23:14Z
40312624,ORO1041,ORO1042,ORO,C25C,EC-NQS,LEIB,LEBL,2026-06-15T02:29:43Z,2026-06-15T02:58:09Z
4031275a,WS66,WJA66,WJA,B38M,C-GLWS,CYHZ,LEBL,2026-06-15T02:39:34Z,2026-06-15T08:33:05Z
40312a5f,W43403,WMT46NC,WMT,A20N,9H-WBA,LRCL,LEBL,2026-06-15T02:39:20Z,2026-06-15T05:31:22Z
40312f93,TW407,TWB407,KAL,A332,HL8276,RKSI,LEBL,2026-06-15T02:54:42Z,2026-06-15T16:40:55Z
403135e4,LY393,ELY393,ELY,B738,4X-EKB,LLBG,LEBL,2026-06-15T03:06:22Z,2026-06-15T07:27:50Z
403166d3,UX7161,AEA27GB,OVA,B738,EC-MVY,LEMD,LEBB,2026-06-15T04:47:38Z,2026-06-15T05:23:27Z
403168e3,TK1315,THY6ZN,THY,B738,TC-JZE,LTFM,LEBB,2026-06-15T05:15:42Z,2026-06-15T09:03:35Z
40316b09,VY3937,VLG5QN,VLG,A20N,EC-NDA,LEPA,LEBB,2026-06-15T04:52:19Z,2026-06-15T05:54:19Z
40316b8c,KL1522,KLM98T,KLC,E190,PH-EZN,LEBB,EHAM,2026-06-15T04:48:59Z,2026-06-15T06:28:19Z
40316e13,IB442,IBE0442,IBE,A20N,EC-NTA,LEBB,LEMD,2026-06-15T04:46:43Z,2026-06-15T05:27:45Z
40316f94,WK226,EDW721D,EDW,A320,HB-IHY,LSZH,LEBB,2026-06-15T04:57:57Z,2026-06-15T06:30:47Z
40317077,EW9516,EWG51TM,EWG,A20N,D-AENF,EDDL,LEBB,2026-06-15T05:02:50Z,2026-06-15T06:43:31Z
403170b6,VY3977,VLG3FP,VLG,A320,EC-MVE,LEIB,LEBB,2026-06-15T05:06:15Z,2026-06-15T06:07:28Z
40317132,V73512,VOE71UJ,VOE,A320,EC-NTL,LEBB,LEMG,2026-06-15T05:00:35Z,2026-06-15T06:15:26Z
403173d4,VY1450,VLG9EH,VLG,A320,EC-KJD,LEBB,LEAL,2026-06-15T05:14:09Z,2026-06-15T06:13:34Z
40317567,LH1147,DLH85N,DLH,A21N,D-AIEG,LEBB,EDDF,2026-06-15T05:07:47Z,2026-06-15T06:53:55Z
403177dd,VY1420,VLG5PP,VLG,A321,EC-NLY,LEBL,LEBB,2026-06-15T05:14:49Z,2026-06-15T06:03:02Z
403178af,VY8354,VLG8354,VLG,A320,EC-MQE,LEBB,EHAM,2026-06-15T05:12:27Z,2026-06-15T06:55:36Z
40317b26,VY1423,VLG32LC,VLG,A320,EC-JZI,LEBB,LEBL,2026-06-15T05:16:48Z,2026-06-15T06:14:12Z
40317d55,LH1831,DLH99P,DLH,A20N,D-AINQ,LEBB,EDDM,2026-06-15T05:18:29Z,2026-06-15T07:12:07Z
40317e8f,VY2512,VLG7CX,VLG,A320,EC-KCU,LEBB,LEZL,2026-06-15T05:48:23Z,2026-06-15T06:54:25Z
40317eed,AF1377,AFR38JF,HOP,E190,F-HBQA,LEBB,LFPG,2026-06-15T05:24:17Z,2026-06-15T06:44:28Z
403186f4,IB429,IBE04RD,IBE,A320,EC-LXQ,LEMD,LEBB,2026-06-15T05:56:12Z,2026-06-15T06:33:52Z
4031879c,VY3272,VLG1JR,VLG,A320,EC-LVT,LEBB,GCLP,2026-06-15T05:41:53Z,2026-06-15T08:31:15Z
40318802,V73536,VOE9KT,VOE,A320,EC-NQM,LEBB,LEVC,2026-06-15T05:39:44Z,2026-06-15T06:34:36Z
4030de15,,N138QS,EJA,GL5T,N138QS,KMIA,LEIB,2026-06-15T02:34:10Z,2026-06-15T11:13:22Z
403123bc,QE755,QQE755,QQE,GLF6,A7-CGD,KTEB,LEIB,2026-06-15T02:32:45Z,2026-06-15T09:11:38Z
403138f1,,MEECKVC,INR,B412,EC-KVC,LEIB,LEIB,2026-06-15T02:58:32Z,2026-06-15T03:02:08Z
4031485e,EW8540,EWG58L,EWG,A320,D-AEWT,EDDB,LEIB,2026-06-15T03:38:45Z,2026-06-15T06:01:05Z
40314ac1,FR615,RYR615,RYR,B738,EI-GSI,LEVC,LEIB,2026-06-15T03:45:07Z,2026-06-15T04:14:32Z
40314c51,IB7015,ANE7015,ANE,AT76,EC-LRR,LEVC,LEIB,2026-06-15T03:47:03Z,2026-06-15T04:19:46Z
40314c36,,NJE843P,NJE,C56X,CS-DXM,LEMG,LEIB,2026-06-15T03:46:18Z,2026-06-15T04:48:27Z
40314d13,FR394,RYR7DU,RYR,B738,EI-DCJ,LEMD,LEIB,2026-06-15T03:54:29Z,2026-06-15T04:44:24Z
40314d88,W46235,WMT8812,WMT,A21N,9H-WMI,LIRF,LEIB,2026-06-15T03:54:36Z,2026-06-15T05:22:24Z
40314f24,,MEECKVC,INR,B412,EC-KVC,,LEIB,2026-06-15T03:45:33Z,2026-06-15T03:53:16Z
40315166,FR7572,RYR3FB,MAY,B738,9H-QEK,LEAL,LEIB,2026-06-15T04:06:50Z,2026-06-15T04:31:31Z
403156f1,X32914,TUI4DN,TUI,B38M,D-AMAB,EDDL,LEIB,2026-06-15T04:14:16Z,2026-06-15T06:15:00Z
403159fa,FR8334,RYR8334,RYR,B38M,EI-IKO,LIME,LEIB,2026-06-15T04:24:50Z,2026-06-15T05:53:12Z
40315a9e,U23735,EJU18WZ,EJU,A21N,OE-IUD,LIMC,LEIB,2026-06-15T04:20:09Z,2026-06-15T05:46:22Z
40315b16,U28099,EZY52LD,EZY,A320,G-EJCC,EGKK,LEIB,2026-06-15T04:31:51Z,2026-06-15T06:26:09Z
40315b8c,HV9009,TRA81J,TRA,B738,PH-HZO,EBBR,LEIB,2026-06-15T05:20:38Z,2026-06-15T07:20:46Z
40315cc8,IB2430,ANE46LN,ANE,CRJX,EC-MNQ,LEVC,LEIB,2026-06-15T04:21:07Z,2026-06-15T04:52:05Z
40315d4d,EW7514,EWG7SV,GJT,A320,LY-EKB,EDDH,LEIB,2026-06-15T04:22:28Z,2026-06-15T06:42:27Z
40315f92,HV5673,TRA56M,TRA,A21N,PH-YHA,EHAM,LEIB,2026-06-15T04:38:50Z,2026-06-15T06:45:18Z
