icao,iata,name
LIRP,PSA,Pisa Galileo Galilei Airport
LIRQ,FLR,Florence Peretola Airport
LKPD,PED,Pardubice Airport
LKPR,PRG,Prague Vaclav Havel Airport
LLBG,TLV,Tel Aviv Ben Gurion International Airport
LMML,MLA,Malta Luqa International Airport
LOWL,LNZ,Linz Airport
LOWW,VIE,Vienna International Airport
LPPR,OPO,Porto Francisco de Sa Carneiro Airport
LPPT,LIS,Lisbon Humberto Delgado Airport
LRCL,CLJ,Cluj-Napoca International Airport
LRIA,IAS,Iasi International Airport
LROP,OTP,Bucharest Henri Coanda International Airport
LRTR,TSR,Timisoara Traian Vuia International Airport
LSGG,GVA,Geneva International Airport
LSZC,BXO,Buochs Airport
LSZH,ZRH,Zurich Airport
LTFM,IST,Istanbul Airport
LYBE,BEG,Belgrade Nikola Tesla Airport
MDPC,PUJ,Punta Cana International Airport
MDSD,SDQ,Santo Domingo Las Americas International Airport
MDST,STI,Santiago de los Caballeros Cibao International Airport
MHLM,SAP,San Pedro Sula La Mesa International Airport
MHPR,XPL,Tegucigalpa Palmerola International Airport
MMMX,MEX,Mexico City International Airport
MMMY,MTY,Monterrey International Airport
MMUN,CUN,Cancun International Airport
MPTO,PTY,Panama City Tocumen International Airport
MROC,SJO,San Jose Juan Santamaria International Airport
MSLP,SAL,San Salvador International Airport
OEJN,JED,Jeddah King Abdulaziz International Airport
OMAA,AUH,Abu Dhabi Zayed International Airport
OMDB,DXB,Dubai International Airport
OMSJ,SHJ,Sharjah International Airport
OTHH,DOH,Doha Hamad International Airport
RKSI,ICN,Seoul Incheon International Airport
SABE,AEP,Buenos Aires Jorge Newbery Airport
SAEZ,EZE,Buenos Aires Ministro Pistarini International Airport
SBFZ,FOR,Fortaleza Pinto Martins International Airport
SBGR,GRU,Sao Paulo Guarulhos International Airport
SBKP,VCP,Campinas Viracopos International Airport
SBRF,REC,Recife Airport
SBSV,SSA,Salvador International Airport
SEGU,GYE,Guayaquil International Airport
SEQM,UIO,Quito Mariscal Sucre International Airport
SKBO,BOG,Bogota El Dorado International Airport
SKCL,CLO,Cali Alfonso Bonilla Aragon International Airport
SKRG,MDE,Medellin Jose Maria Cordova International Airport
SLVR,VVI,Santa Cruz Viru Viru International Airport
SPJC,LIM,Lima Jorge Chavez International Airport
SUMU,MVD,Montevideo Carrasco International Airport
SVMI,CCS,Caracas Simon Bolivar International Airport
TJSJ,SJU,San Juan Luis Munoz Marin International Airport
UBBB,GYD,Baku Heydar Aliyev International Airport
VHHH,HKG,Hong Kong International Airport
ZBAA,PEK,Beijing Capital International Airport
ZGGG,CAN,Guangzhou Baiyun International Airport
ZSHC,HGH,Hangzhou Xiaoshan International Airport
ZSPD,PVG,Shanghai Pudong International Airport
