fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
404d0c4c,VY3537,VLG9YT,VLG,A20N,EC-NCF,LEIB,LEBL,2026-06-22T00:10:23Z,2026-06-22T00:42:22Z
404d0f1d,QY8030,BCS3LR,BCS,A306,D-AEAL,EDDP,LEBL,2026-06-22T00:18:11Z,2026-06-22T02:10:04Z
404d1ccd,AA40,AAL40,AAL,B788,N814AA,KORD,LEBL,2026-06-22T00:47:53Z,2026-06-22T08:40:42Z
404d1df1,AC820,ACA820,ACA,B77W,C-FIVQ,CYYZ,LEBL,2026-06-22T00:51:14Z,2026-06-22T08:16:36Z
404d1fbf,5X242,UPS242,UPS,B763,N391UP,EDDK,LEBL,2026-06-22T00:44:34Z,2026-06-22T02:22:38Z
404d2312,EK256,UAE256,UAE,B77L,A6-EWF,MMMX,LEBL,2026-06-22T01:11:29Z,2026-06-22T11:58:07Z
404d2e40,VY8105,VLG448P,VLG,A320,EC-NUP,LGAV,LEBL,2026-06-22T01:07:43Z,2026-06-22T03:34:34Z
404d3183,IB2630,LVL230K,LVL,A332,EC-NRG,KMIA,LEBL,2026-06-22T02:15:14Z,2026-06-22T10:56:21Z
404d3285,UA672,UAL672,UAL,B772,N78004,KSFO,LEBL,2026-06-22T01:25:25Z,2026-06-22T12:09:05Z
404d3e9a,AV180,AVA180,AVA,B788,N792AV,SKBO,LEBL,2026-06-22T01:45:52Z,2026-06-22T11:34:17Z
404d5370,WS66,WJA66,WJA,B38M,C-GDDR,CYHZ,LEBL,2026-06-22T02:20:38Z,2026-06-22T08:29:12Z
404d601d,,,,GLEX,,,,2026-06-22T02:31:02Z,2026-06-22T04:04:44Z
404d62dc,W43403,WMT46NC,WMT,A20N,9H-WAN,LRCL,LEBL,2026-06-22T02:47:07Z,2026-06-22T05:19:00Z
404d658d,UA769,UAL769,UAL,B788,N27903,KORD,LEBL,2026-06-22T03:13:42Z,2026-06-22T11:07:00Z
404d681a,LY393,ELY393,ELY,B738,4X-EKP,LLBG,LEBL,2026-06-22T03:03:38Z,2026-06-22T07:19:16Z
404d6901,IB2610,LVL2610,LVL,A332,EC-NEN,SPJC,LEBL,2026-06-22T03:14:33Z,2026-06-22T15:17:52Z
404d69c9,W43175,WMT3796,WZZ,A321,HA-LTI,LROP,LEBL,2026-06-22T03:02:52Z,2026-06-22T05:50:31Z
404d6a93,SN3708,BEL8DM,BEL,A319,OO-SSF,LEBL,EBBR,2026-06-22T03:44:23Z,2026-06-22T05:25:42Z
404d6e0b,DL194,DAL194,DAL,A333,N816NW,KATL,LEBL,2026-06-22T03:20:03Z,2026-06-22T11:38:39Z
404d6eff,,NJE650W,NJE,C68A,CS-LTE,LEBL,LEIB,2026-06-22T03:20:41Z,2026-06-22T03:53:20Z
404d9a58,UX7161,AEA27GB,AEA,B738,EC-LQX,LEMD,LEBB,2026-06-22T04:39:58Z,2026-06-22T05:16:01Z
404da02a,TK1315,THY6ZN,THY,B38M,TC-LCA,LTFM,LEBB,2026-06-22T05:08:23Z,2026-06-22T08:41:55Z
404da34b,LH1147,DLH85N,DLH,A20N,D-AINA,LEBB,EDDF,2026-06-22T04:49:35Z,2026-06-22T06:33:31Z
404da46a,VY3937,VLG5QN,VLG,A320,EC-LOC,LEPA,LEBB,2026-06-22T04:52:02Z,2026-06-22T05:59:15Z
404da4e2,TYJ520,TYJ520,TYJ,C56X,9H-GAMA,LEBB,LPPR,2026-06-22T05:13:31Z,2026-06-22T06:16:03Z
404da502,V73512,VOE71UJ,VOE,A320,EC-NTL,LEBB,LEMG,2026-06-22T04:43:37Z,2026-06-22T06:02:27Z
404da656,KL1522,KLM98T,KLC,E75L,PH-EXU,LEBB,EHAM,2026-06-22T04:53:40Z,2026-06-22T06:35:35Z
404da660,IB442,IBE0442,IBE,A320,EC-ILS,LEBB,LEMD,2026-06-22T04:55:33Z,2026-06-22T05:40:20Z
404da6ed,WK226,EDW721D,EDW,A320,HB-IHY,LSZH,LEBB,2026-06-22T05:01:15Z,2026-06-22T06:33:59Z
404da905,EW9516,EWG51TM,EWG,A320,D-ABZI,EDDL,LEBB,2026-06-22T05:02:16Z,2026-06-22T06:40:13Z
404dad01,VY3977,VLG3FP,VLG,A320,EC-MJC,LEIB,LEBB,2026-06-22T05:08:45Z,2026-06-22T06:20:51Z
404dad59,VY1450,VLG9EH,VLG,A320,EC-JZI,LEBB,LEAL,2026-06-22T05:07:38Z,2026-06-22T06:08:40Z
404dada8,VY1423,VLG32LC,VLG,A320,EC-KDX,LEBB,LEBL,2026-06-22T05:05:45Z,2026-06-22T06:04:18Z
404dadb4,VY1420,VLG5PP,VLG,A320,EC-KHN,LEBL,LEBB,2026-06-22T05:11:00Z,2026-06-22T06:03:05Z
404daf4c,VY8354,VLG8354,VLG,A320,EC-LVT,LEBB,EHAM,2026-06-22T05:11:30Z,2026-06-22T06:48:45Z
404db1ab,LH1831,DLH99P,DLH,A321,D-AIDX,LEBB,EDDM,2026-06-22T05:21:15Z,
404db2b2,VY2512,VLG7CX,VLG,A320,EC-LUO,LEBB,LEZL,2026-06-22T05:16:57Z,2026-06-22T06:24:05Z
404db5cf,AF1377,AFR38JF,HOP,E190,F-HBLX,LEBB,LFPG,2026-06-22T05:19:17Z,2026-06-22T06:31:34Z
404dbcd4,IB429,IBE04RD,IBE,A320,EC-LUL,LEMD,LEBB,2026-06-22T05:38:06Z,2026-06-22T06:16:03Z
404dbeab,V73536,VOE9KT,VOE,A320,EC-KMI,LEBB,LEVC,2026-06-22T05:39:17Z,2026-06-22T06:31:08Z
404d0c11,,,,GLF5,,,,2026-06-22T00:07:54Z,2026-06-22T06:57:06Z
404d0db9,,AXY339M,AXY,CRJ2,9H-BOO,LEIB,LFMN,2026-06-22T00:12:18Z,2026-06-22T01:21:12Z
404d35ae,,,,GL5T,,,,2026-06-22T01:23:12Z,2026-06-22T05:00:19Z
404d611e,,,,CL30,,,,2026-06-22T02:41:35Z,2026-06-22T03:41:19Z
404d72a4,AAN261,ATJ261,AAN,E550,OK-PRJ,LEIB,LGKV,2026-06-22T03:30:57Z,2026-06-22T06:03:07Z
404d75be,W46235,WMT8812,WZZ,A21N,HA-LGY,LIRF,LEIB,2026-06-22T03:28:55Z,2026-06-22T04:55:07Z
404d7a2c,FR7572,RYR3FB,RYR,B38M,EI-IHA,LEAL,LEIB,2026-06-22T04:07:59Z,2026-06-22T04:30:14Z
404d7ceb,EW8540,EWG58L,EWG,A320,D-AEWT,EDDB,LEIB,2026-06-22T03:40:48Z,2026-06-22T06:12:59Z
404d8106,FR394,RYR7DU,RYR,B738,EI-ENF,LEMD,LEIB,2026-06-22T03:59:48Z,2026-06-22T04:42:53Z
404d8645,FR615,RYR615,MAY,B738,9H-QBX,LEVC,LEIB,2026-06-22T03:58:03Z,2026-06-22T04:22:56Z
404d88ce,U21305,EJU85KQ,EZS,A320,HB-JXL,LSGG,LEIB,2026-06-22T04:02:16Z,2026-06-22T05:27:39Z
404d89e4,FR8334,RYR8334,MAY,B38M,9H-VVS,LIME,LEIB,2026-06-22T04:06:21Z,2026-06-22T05:35:13Z
404d8ff8,X32914,TUI4DN,TUI,B738,D-ATUR,EDDL,LEIB,2026-06-22T04:16:25Z,2026-06-22T06:26:30Z
404d9305,IB2430,ANE46LN,ANE,CRJX,EC-MNQ,LEVC,LEIB,2026-06-22T04:21:58Z,2026-06-22T04:46:28Z
404d961d,U23735,EJU18WZ,EJU,A21N,OE-IUL,LIMC,LEIB,2026-06-22T04:32:29Z,2026-06-22T05:58:06Z
404d9659,HV5673,TRA56M,TRA,A21N,PH-YHQ,EHAM,LEIB,2026-06-22T04:34:38Z,2026-06-22T06:41:57Z
404d96e6,UAG202,UAG202,UAG,E190,YL-ORD,LEVC,LEIB,2026-06-22T04:28:53Z,2026-06-22T04:58:39Z
404d976e,U28099,EZY52LD,EZY,A320,G-EZUC,EGKK,LEIB,2026-06-22T04:30:36Z,2026-06-22T06:31:04Z
404dceae,NT305,RSC50BC,RSC,AT76,EC-MOL,GCLA,GCLP,2026-06-22T06:02:54Z,2026-06-22T06:47:37Z
404dcf6b,NT603,RSC33MY,RSC,AT76,EC-MTQ,GCLA,GCXO,2026-06-22T06:05:22Z,2026-06-22T06:34:36Z
404dd12c,NT600,RSC600,RSC,AT76,EC-MIF,GCXO,GCLA,2026-06-22T06:14:21Z,2026-06-22T06:37:10Z
404ddb52,NT300,RSC18ZJ,RSC,AT76,EC-NGF,GCLP,GCLA,2026-06-22T06:26:48Z,2026-06-22T07:07:04Z
404ddf7f,NT602,RSC8ZZ,IBB,AT76,EC-MYT,GCXO,GCLA,2026-06-22T06:36:05Z,2026-06-22T06:58:28Z
404de651,PM412,CNF412S,CNF,AT75,EC-MHJ,GCXO,GCLA,2026-06-22T06:48:30Z,2026-06-22T07:13:15Z
404dee61,NT604,NAY2SY,NAY,AT76,EC-OGF,GCXO,GCLA,2026-06-22T07:00:48Z,2026-06-22T07:22:38Z
404df4e2,NT605,RSC2YB,RSC,AT76,EC-MIF,GCLA,GCXO,2026-06-22T07:16:04Z,2026-06-22T07:44:49Z
404e03c1,NT607,RSC73MZ,IBB,AT76,EC-MYT,GCLA,GCXO,2026-06-22T07:36:46Z,2026-06-22T08:01:12Z
404e0985,PM413,CNF413S,CNF,AT75,EC-MHJ,GCLA,GCXO,2026-06-22T07:47:30Z,2026-06-22T08:17:48Z
404e0dd8,NT307,RSC53MK,RSC,AT76,EC-NGF,GCLA,GCLP,2026-06-22T07:56:25Z,2026-06-22T08:41:19Z
404e1233,NT609,NAY609,NAY,AT76,EC-OGF,GCLA,GCXO,2026-06-22T08:00:48Z,2026-06-22T08:27:03Z
404e22c6,NT760,RSC760,RSC,AT76,EC-MOL,GCTS,GCLA,2026-06-22T08:28:45Z,2026-06-22T08:55:02Z
404e2447,NT610,RSC74ZZ,RSC,AT76,EC-MIF,GCXO,GCLA,2026-06-22T08:34:05Z,2026-06-22T09:00:23Z
404e2deb,PM418,CNF418S,CNF,AT75,EC-MHJ,GCXO,GCLA,2026-06-22T08:49:28Z,2026-06-22T09:12:01Z
404e2e12,NT308,RSC83XR,RSC,AT76,EC-NDD,GCLP,GCLA,2026-06-22T09:23:16Z,2026-06-22T10:03:29Z
404e3549,NT616,NAY31XL,NAY,AT76,EC-OAN,GCXO,GCLA,2026-06-22T09:07:16Z,2026-06-22T09:29:50Z
404e48da,NT618,NAY88AZ,IBB,AT76,EC-NVD,GCXO,GCLA,2026-06-22T09:33:16Z,2026-06-22T09:55:26Z
404e4970,NT617,RSC32VP,RSC,AT76,EC-MIF,GCLA,GCXO,2026-06-22T09:32:07Z,2026-06-22T09:57:13Z
404e4a09,NT763,RSC75UH,RSC,AT76,EC-MOL,GCLA,GCTS,2026-06-22T09:34:42Z,2026-06-22T10:01:05Z
404d0e39,IB108,IBE5108,IBE,A359,EC-NVR,SAEZ,LEMD,2026-06-22T01:25:44Z,2026-06-22T12:57:39Z
404d102b,UX58,AEA058,AEA,B789,EC-NFM,SBGR,LEMD,2026-06-22T00:29:00Z,2026-06-22T10:00:18Z
404d129a,LAV1149,LAV1149,LAV,B738,EC-MTV,LIPY,LEMD,2026-06-22T00:17:45Z,2026-06-22T02:18:12Z
404d14cb,UX1088,AEA35SY,OVA,B738,EC-MVY,LGAV,LEMD,2026-06-22T00:28:38Z,2026-06-22T03:37:38Z
404d16f2,IB3267,IBE3267,IBE,A333,EC-LYF,LEMD,SBGR,2026-06-22T00:27:51Z,2026-06-22T10:43:09Z
404d1756,AA740,AAL740,AAL,B788,N800AN,KPHL,LEMD,2026-06-22T00:38:48Z,2026-06-22T07:08:26Z
404d178c,DL126,DAL126,DAL,A333,N822NW,KJFK,LEMD,2026-06-22T00:49:25Z,2026-06-22T07:24:41Z
404d17a9,AV47,AVA047,AVA,B788,N791AV,LEMD,SKBO,2026-06-22T00:34:18Z,2026-06-22T09:53:58Z
404d1948,5X256,UPS256,UPS,B763,N394UP,EDDK,LEMD,2026-06-22T00:35:00Z,2026-06-22T02:28:00Z
404d1c6a,LA8076,TAM8076,TAM,B77W,PT-MUE,SBGR,LEMD,2026-06-22T00:44:13Z,2026-06-22T10:30:28Z
404d1d33,IB380,IBE03PB,IBE,A332,EC-MNL,TJSJ,LEMD,2026-06-22T00:42:09Z,2026-06-22T08:19:09Z
404d1d4b,QY8340,BCS7CK,SWT,B734,EC-NMK,LIMC,LEMD,2026-06-22T00:45:54Z,2026-06-22T02:25:26Z
404d1f37,QR8230,QTR3U,QTR,B77L,A7-BFA,LEMD,OTHH,2026-06-22T00:53:49Z,2026-06-22T07:22:35Z
404d211e,UX84,AEA084,AEA,B788,EC-NZG,SBSV,LEMD,2026-06-22T00:45:33Z,2026-06-22T08:40:58Z
404d22f6,IB326,IBE03KE,IBE,A332,EC-MLP,KJFK,LEMD,2026-06-22T01:01:06Z,2026-06-22T07:47:18Z
404d247b,2W2094,WFL2094,WFL,A359,EC-NOI,SKCL,LEMD,2026-06-22T00:57:16Z,2026-06-22T10:24:45Z
404d2726,,,IBS,A21N,EC-OAU,LEMD,,,
404d2a57,IB170,IBE0170,IBE,A332,EC-MLB,SUMU,LEMD,2026-06-22T01:05:10Z,2026-06-22T12:48:56Z
404d2b4c,LXJ650,LXJ650,LXJ,GLF6,N650FX,KOPF,LEMD,2026-06-22T01:02:28Z,2026-06-22T08:55:32Z
404d2d1e,IB352,IBE0352,IBE,A359,EC-NDR,KLAX,LEMD,2026-06-22T01:19:03Z,2026-06-22T11:33:07Z
404d0cbe,FR5201,RYR1VR,LDA,A320,9H-LMT,LFML,LEPA,2026-06-22T00:08:44Z,2026-06-22T00:56:17Z
404d17fe,,,,GLEX,,,,2026-06-22T02:24:08Z,2026-06-22T10:48:16Z
404d2104,FR3111,RYR8585,RYS,B38M,SP-RZI,LEPA,LHBP,2026-06-22T00:47:07Z,2026-06-22T02:55:08Z
404d32ca,AC924,ACA924,ACA,B788,C-GHPY,CYUL,LEPA,2026-06-22T01:32:27Z,2026-06-22T08:21:55Z
404d3474,3O381,MAC381,MAC,A320,CN-NMI,GMMW,LEPA,2026-06-22T01:14:41Z,2026-06-22T02:20:36Z
404d3482,LO6230,LOT6230,LOT,B38M,SP-LYG,LEPA,EPWA,2026-06-22T01:25:36Z,2026-06-22T04:04:38Z
404d4b20,EW6815,EWG53L,EWL,A320,9H-EUM,EDDN,LEPA,2026-06-22T02:02:05Z,2026-06-22T03:50:27Z
404d50a7,DE1502,CFG5HV,CFG,A21N,D-ANMW,EDDF,LEPA,2026-06-22T03:15:36Z,2026-06-22T04:59:09Z
404d58db,EW6863,EWG31G,EWL,A320,9H-EUN,EDDE,LEPA,2026-06-22T02:28:26Z,2026-06-22T04:39:28Z
404d6241,DI6034,MBU5AW,MBU,A20N,ES-MBU,EDDN,LEPA,2026-06-22T02:50:30Z,2026-06-22T04:46:10Z
404d631a,W64403,WZZ2PE,WZZ,A21N,HA-LZW,LBSF,LEPA,2026-06-22T02:48:02Z,2026-06-22T05:19:06Z
404d63c3,IB1653,IBS16SG,IBS,A320,EC-LVQ,LEMD,LEPA,2026-06-22T02:52:49Z,2026-06-22T03:42:56Z
404d6674,DE1602,CFG1RV,HST,A320,LY-MAU,EDDG,LEPA,2026-06-22T02:53:27Z,2026-06-22T04:52:30Z
404d68fb,EW6809,EWG42M,EWL,A320,9H-EWI,EDLP,LEPA,2026-06-22T02:56:50Z,2026-06-22T04:55:37Z
404d6e88,EW3590,EWG77PM,EWL,A320,9H-EWH,EDDV,LEPA,2026-06-22T03:09:13Z,2026-06-22T05:16:39Z
404d73e2,EW6823,EWG9TZ,EWL,A320,9H-EUV,EDDG,LEPA,2026-06-22T03:19:56Z,2026-06-22T05:28:12Z
404d7469,EW580,EWG4LQ,EWG,A320,D-AEWN,EDDK,LEPA,2026-06-22T03:22:23Z,2026-06-22T05:14:25Z
