fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
40494c97,AA40,AAL40,AAL,B788,N805AN,KORD,LEBL,2026-06-21T00:32:47Z,2026-06-21T08:18:21Z
40494eda,A3713,AEE713,AEE,A21N,SX-NAO,LEBL,LGAV,2026-06-21T00:18:14Z,2026-06-21T02:50:57Z
40494f74,DL250,DAL250,DAL,A333,N823NW,KBOS,LEBL,2026-06-21T00:30:07Z,2026-06-21T07:14:26Z
4049593f,DL194,DAL194,DAL,A333,N812NW,KATL,LEBL,2026-06-21T01:59:46Z,2026-06-21T09:55:14Z
40495b74,EK256,UAE256,UAE,B77L,A6-EWD,MMMX,LEBL,2026-06-21T01:00:53Z,2026-06-21T11:18:48Z
404963a7,UA672,UAL672,UAL,B772,N78017,KSFO,LEBL,2026-06-21T01:16:53Z,2026-06-21T12:05:31Z
40496486,VY8105,VLG448P,VLG,A321,EC-MHB,LGAV,LEBL,2026-06-21T01:07:42Z,2026-06-21T03:43:03Z
404964f1,VY3351,VLG8NV,VLG,A320,EC-MKN,LGIR,LEBL,2026-06-21T01:00:35Z,2026-06-21T03:46:27Z
40496904,VJT793,VJT793,VJT,GL7T,9H-VIO,KHPN,LEBL,2026-06-21T01:01:10Z,2026-06-21T07:48:31Z
40496bf1,3Z7319,TVP7319,TVS,B738,OK-TVJ,LEBL,EPWA,2026-06-21T01:17:07Z,2026-06-21T03:44:32Z
40496f11,WS28,WJA28,WJA,B789,C-GUDO,CYYC,LEBL,2026-06-21T01:29:37Z,2026-06-21T10:42:18Z
4049786b,AV180,AVA180,AVA,B788,N780AV,SKBO,LEBL,2026-06-21T01:44:37Z,2026-06-21T11:17:01Z
40499215,AC822,ACA822,ACA,A333,C-GHKW,CYUL,LEBL,2026-06-21T02:55:00Z,2026-06-21T09:48:38Z
4049999b,UA769,UAL769,UAL,B788,N27903,KORD,LEBL,2026-06-21T03:18:56Z,2026-06-21T11:08:14Z
40499a87,LY393,ELY393,ELY,B738,4X-EKA,LLBG,LEBL,2026-06-21T02:59:03Z,2026-06-21T07:07:09Z
40499c9a,UA992,UAL992,UAL,B788,N26909,KIAD,LEBL,2026-06-21T03:04:33Z,2026-06-21T09:59:56Z
40499f83,IB2628,LVL285J,LVL,A332,EC-ODB,KJFK,LEBL,2026-06-21T04:09:42Z,2026-06-21T10:51:17Z
4049a15b,W43175,WMT3796,WZZ,A321,HA-LXM,LROP,LEBL,2026-06-21T03:03:52Z,2026-06-21T05:43:23Z
