fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
403d2d73,WT224,SWT224,SWT,AT73,EC-JRP,LEMD,LEBL,2026-06-18T00:32:33Z,2026-06-18T01:43:12Z
403d3b7b,EK256,UAE256,UAE,B77L,A6-EWC,MMMX,LEBL,2026-06-18T01:07:38Z,2026-06-18T11:23:05Z
403d4054,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-06-18T00:55:18Z,2026-06-18T02:02:43Z
403d4b5d,UA672,UAL672,UAL,B772,N785UA,KSFO,LEBL,2026-06-18T01:40:31Z,2026-06-18T12:47:06Z
403d5c86,D08048,BCS1MU,BCS,B752,D-ALET,EBBR,LEBL,2026-06-18T01:54:32Z,2026-06-18T03:29:33Z
403d5d72,5X242,UPS242,UPS,B763,N364UP,EDDK,LEBL,2026-06-18T01:43:26Z,2026-06-18T03:17:48Z
403d5df1,AV180,AVA180,AVA,B788,N793AV,SKBO,LEBL,2026-06-18T01:58:40Z,2026-06-18T11:33:14Z
403d63b9,DL194,DAL194,DAL,A333,N826NW,KATL,LEBL,2026-06-18T01:58:27Z,2026-06-18T10:35:05Z
403d66d8,W64527,WZZ7G,WZZ,A21N,HA-LGR,LBWN,LEBL,2026-06-18T01:59:36Z,2026-06-18T04:48:10Z
403d68aa,QY8030,BCS3LR,DHA,B752,OE-LNQ,EDDP,LEBL,2026-06-18T02:04:44Z,2026-06-18T03:57:36Z
403d7083,IB2630,LVL230K,LVL,A332,EC-OHY,KMIA,LEBL,2026-06-18T02:23:24Z,2026-06-18T10:43:35Z
403d722b,AME831,AME0831,AEA,B738,EC-LTM,LEMD,LEBL,2026-06-18T02:25:19Z,2026-06-18T03:13:29Z
403d758a,WS66,WJA66,WJA,B38M,C-FHCM,CYHZ,LEBL,2026-06-18T02:26:56Z,2026-06-18T08:56:30Z
403d797f,3V4272,TAY3BC,ABR,B738,EI-HRB,LFPG,LEBL,2026-06-18T02:49:02Z,2026-06-18T04:12:20Z
403d7e71,VY3350,VLG4CA,VLG,A320,EC-MBS,LEBL,LGIR,2026-06-18T02:46:46Z,2026-06-18T05:38:16Z
403d8670,W64461,WZZ4461,WMT,A21N,9H-WNT,LBSF,LEBL,2026-06-18T02:55:54Z,2026-06-18T05:21:15Z
403d87c8,LY393,ELY393,ELY,B739,4X-EHC,LLBG,LEBL,2026-06-18T02:59:31Z,2026-06-18T07:03:46Z
403d883c,UA769,UAL769,UAL,B788,N45905,KORD,LEBL,2026-06-18T03:37:15Z,2026-06-18T12:00:14Z
