fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
40510e12,FR4587,RYR4LJ,RYR,B738,EI-DCO,LEBL,LPPR,2026-06-23T00:26:43Z,2026-06-23T01:43:59Z
40510f3a,WT224,SWT224,SWT,AT75,EC-MEC,LEMD,LEBL,2026-06-23T00:30:51Z,2026-06-23T01:45:33Z
40510f39,VY2693,VLG2693,VLG,A21N,EC-NYF,DTTA,LEBL,2026-06-23T00:24:37Z,2026-06-23T01:41:04Z
405112ea,VY6167,VLG4SK,VLG,A321,EC-MGY,LIEE,LEBL,2026-06-23T00:32:11Z,2026-06-23T01:27:38Z
40511366,A3713,AEE713,AEE,A21N,SX-NAV,LEBL,LGAV,2026-06-23T00:31:11Z,2026-06-23T03:00:47Z
405114f7,AC822,ACA822,ACA,A333,C-GKUG,CYUL,LEBL,2026-06-23T00:43:33Z,2026-06-23T07:29:29Z
405116d2,VY6151,VLG37CO,VLG,A320,EC-MVO,DAAG,LEBL,2026-06-23T00:35:19Z,2026-06-23T01:29:32Z
4051206d,EK256,UAE256,UAE,B77L,A6-EWD,MMMX,LEBL,2026-06-23T01:02:39Z,2026-06-23T11:32:42Z
40512352,QY460,BCS460,CGF,B734,LZ-CGT,LIMC,LEBL,2026-06-23T01:10:35Z,2026-06-23T02:14:00Z
4051298b,UA672,UAL672,UAL,B772,N204UA,KSFO,LEBL,2026-06-23T01:19:49Z,2026-06-23T12:04:09Z
40513802,AH2015,DAH2015,DAH,B738,7T-VKM,LEBL,DAAG,2026-06-23T02:19:27Z,2026-06-23T03:06:36Z
405140eb,QY8048,BCS1MU,BCS,B752,D-ALEU,EBBR,LEBL,2026-06-23T01:46:26Z,2026-06-23T03:29:06Z
405140ee,IB2630,LVL230K,LVL,A332,EC-ODB,KMIA,LEBL,2026-06-23T02:19:34Z,2026-06-23T10:50:09Z
405141be,5X242,UPS242,UPS,B763,N397UP,EDDK,LEBL,2026-06-23T01:40:43Z,2026-06-23T03:15:14Z
40514887,AV180,AVA180,AVA,B788,N786AV,SKBO,LEBL,2026-06-23T02:16:13Z,2026-06-23T11:57:01Z
40514eac,WS66,WJA66,WJA,B38M,C-FBWS,CYHZ,LEBL,2026-06-23T02:06:56Z,2026-06-23T08:16:24Z
40514f7e,QY8030,BCS3LR,BCS,A306,D-AZML,EDDP,LEBL,2026-06-23T02:10:03Z,2026-06-23T04:01:18Z
405151cd,DL194,DAL194,DAL,A333,N804NW,KATL,LEBL,2026-06-23T02:15:08Z,2026-06-23T10:38:34Z
405152fb,W64527,WZZ7G,WMT,A21N,9H-WNI,LBWN,LEBL,2026-06-23T02:11:14Z,2026-06-23T05:04:14Z
4051614d,AA40,AAL40,AAL,B788,N881BK,KORD,LEBL,2026-06-23T03:13:15Z,2026-06-23T11:08:49Z
40519c5a,DY1744,NOZ44J,NOZ,B738,LN-NHA,ENGM,LEBB,2026-06-23T04:25:57Z,2026-06-23T07:21:04Z
4051a007,VY1463,VLG883P,VLG,A320,EC-MDZ,LFPO,LEBB,2026-06-23T04:32:05Z,2026-06-23T05:47:23Z
4051a542,LH1147,DLH85N,DLH,A320,D-AIZD,LEBB,EDDF,2026-06-23T04:54:39Z,2026-06-23T06:37:40Z
4051a69b,UX7161,AEA27GB,OVA,B738,EC-MPG,LEMD,LEBB,2026-06-23T04:48:45Z,2026-06-23T05:24:17Z
4051aafa,TK1315,THY6ZN,THY,B38M,TC-LCO,LTFM,LEBB,2026-06-23T05:07:36Z,2026-06-23T08:48:04Z
4051abdd,V73568,VOE8NW,VOE,A320,EC-NTL,LEBB,LECH,2026-06-23T04:50:29Z,2026-06-23T05:39:53Z
4051ac56,IB442,IBE0442,IBE,A20N,EC-NTI,LEBB,LEMD,2026-06-23T04:52:40Z,2026-06-23T05:38:01Z
4051aec6,VY3937,VLG5QN,VLG,A320,EC-MES,LEPA,LEBB,2026-06-23T04:57:45Z,2026-06-23T05:57:37Z
4051b10e,VY2512,VLG7CX,VLG,A320,EC-JZI,LEBB,LEZL,2026-06-23T04:56:23Z,2026-06-23T06:02:30Z
4051b1ba,VY2611,VLG7EB,VLG,A320,EC-OKJ,LEBB,LEMG,2026-06-23T05:03:28Z,2026-06-23T06:19:05Z
4051b278,VY1423,VLG32LC,VLG,A320,EC-MFM,LEBB,LEBL,2026-06-23T05:00:17Z,2026-06-23T05:52:20Z
4051b3af,U22005,EZY51XB,EZY,A320,G-EZUA,EGCC,LEBB,2026-06-23T05:08:01Z,2026-06-23T06:48:03Z
4051b638,VY3977,VLG3FP,VLG,A320,EC-MVE,LEIB,LEBB,2026-06-23T05:07:46Z,2026-06-23T06:08:33Z
4051b6a6,VY3280,VLG15FH,VLG,A320,EC-OFH,LEBB,GCRR,2026-06-23T05:13:04Z,2026-06-23T07:51:44Z
4051b71f,U21065,EZS1065,EZS,A320,HB-JZR,LFSB,LEBB,2026-06-23T05:13:11Z,2026-06-23T06:40:36Z
4051be98,LH1831,DLH99P,DLH,A320,D-AIZW,LEBB,EDDM,2026-06-23T05:21:03Z,2026-06-23T07:19:20Z
4051c072,AF1377,AFR38JF,HOP,E190,F-HBQB,LEBB,LFPG,2026-06-23T05:27:23Z,2026-06-23T06:44:24Z
4051c542,IB429,IBE04RD,IBE,A321,EC-JEJ,LEMD,LEBB,2026-06-23T05:38:06Z,2026-06-23T06:15:06Z
4051c919,KL1522,KLM98T,KLC,E295,PH-NXB,LEBB,EHAM,2026-06-23T05:43:20Z,2026-06-23T07:19:31Z
4051ca2b,V73552,VOE3552,VOE,A320,EC-KMI,LEBB,LIRN,2026-06-23T05:45:22Z,2026-06-23T07:56:20Z
40518122,IB7015,ANE7015,ANE,AT76,EC-LRU,LEVC,LEIB,2026-06-23T03:36:26Z,2026-06-23T04:03:39Z
4051866c,FR615,RYR615,RYR,B738,EI-GSJ,LEVC,LEIB,2026-06-23T03:47:51Z,2026-06-23T04:12:48Z
405186c1,FR394,RYR7DU,RYR,B738,EI-GXL,LEMD,LEIB,2026-06-23T03:52:07Z,2026-06-23T04:39:09Z
40518a59,FR3028,RYR3028,MAY,B738,9H-QDD,LEBL,LEIB,2026-06-23T03:58:49Z,2026-06-23T04:35:55Z
40518abc,FR8334,RYR8334,RYR,B738,EI-EBL,LIME,LEIB,2026-06-23T03:52:43Z,2026-06-23T05:20:14Z
40518c3a,FR2627,RYR61UR,RYR,B38M,EI-HGY,LEIB,EGCC,2026-06-23T03:57:46Z,2026-06-23T06:11:41Z
40518cbb,HV5675,TRA75K,TRA,B738,PH-HXK,EHAM,LEIB,2026-06-23T04:13:16Z,2026-06-23T06:24:43Z
40519072,EW7514,EWG7SV,EWG,A319,D-AGWD,EDDH,LEIB,2026-06-23T04:03:11Z,2026-06-23T06:35:24Z
40519893,DE1576,CFG1YE,BUC,A320,LZ-LAH,EDDM,LEIB,2026-06-23T04:16:48Z,2026-06-23T06:16:33Z
40519ffe,U28099,EZY52LD,EZY,A320,G-EJCF,EGKK,LEIB,2026-06-23T04:33:02Z,2026-06-23T06:38:03Z
40519fe0,DE1868,CFG9AP,CFG,A321,D-AIAG,LSZH,LEIB,2026-06-23T04:32:47Z,2026-06-23T06:10:15Z
4051a11f,,LUA667T,LUA,C56X,D-CMHS,LEMG,LEIB,2026-06-23T04:38:17Z,2026-06-23T05:35:23Z
4051a881,FR5232,RYR26NK,RYR,B738,EI-EMJ,LEZL,LEIB,2026-06-23T04:46:55Z,2026-06-23T05:49:43Z
4051ac65,FR4879,RYR470D,MAY,B38M,9H-VVK,EGGP,LEIB,2026-06-23T04:53:27Z,2026-06-23T07:14:00Z
4051b078,,NJE732W,NJE,CL35,CS-CHD,LEVC,LEIB,2026-06-23T04:56:59Z,2026-06-23T05:23:59Z
4051b18a,HV5681,TRA81Y,TRA,B738,PH-HZI,EHRD,LEIB,2026-06-23T05:07:12Z,2026-06-23T07:17:07Z
4051b1dc,VY3302,VLG4HQ,VLG,A320,EC-MJC,LEIB,LIRF,2026-06-23T05:00:22Z,2026-06-23T06:34:15Z
4051b23b,U25409,EJU54ZC,ITY,A320,EI-DTO,LIML,LEIB,2026-06-23T05:00:54Z,2026-06-23T06:32:23Z
4051b2bf,HV6513,TRA6513,TRA,B738,PH-HZN,EHEH,LEIB,2026-06-23T05:06:57Z,2026-06-23T07:09:37Z
4051b4f8,IB2511,ANE24TA,ANE,AT76,EC-LRU,LEIB,LEPA,2026-06-23T05:03:50Z,2026-06-23T05:36:05Z
4051d788,NT600,NAY600,NAY,AT76,EC-OGF,GCXO,GCLA,2026-06-23T06:06:50Z,2026-06-23T06:30:42Z
4051d907,NT603,RSC33MY,RSC,AT76,EC-MTQ,GCLA,GCXO,2026-06-23T06:03:16Z,2026-06-23T06:33:59Z
4051da39,NT305,RSC50BC,RSC,AT76,EC-MOL,GCLA,GCLP,2026-06-23T06:06:07Z,2026-06-23T06:49:23Z
4051e77a,NT300,RSC18ZJ,RSC,AT76,EC-NJK,GCLP,GCLA,2026-06-23T06:29:12Z,2026-06-23T07:13:51Z
4051eefe,PM412,CNF412S,CNF,AT75,EC-MSM,GCXO,GCLA,2026-06-23T06:46:17Z,2026-06-23T07:10:47Z
4051f99f,NT604,RSC2SY,RSC,AT76,EC-MPI,GCXO,GCLA,2026-06-23T07:05:17Z,2026-06-23T07:28:00Z
4051fa09,NT605,NAY2YB,NAY,AT76,EC-OGF,GCLA,GCXO,2026-06-23T06:59:11Z,2026-06-23T07:26:03Z
4051fc1f,NT602,RSC8ZZ,IBB,AT76,EC-MYT,GCXO,GCLA,2026-06-23T07:07:45Z,2026-06-23T07:31:43Z
405210bc,PM413,CNF413S,CNF,AT75,EC-MSM,GCLA,GCXO,2026-06-23T07:37:11Z,2026-06-23T08:05:39Z
405216a1,NT307,RSC53MK,RSC,AT76,EC-NJK,GCLA,GCLP,2026-06-23T07:44:40Z,2026-06-23T08:31:13Z
40521fd6,NT609,RSC609,RSC,AT76,EC-MPI,GCLA,GCXO,2026-06-23T08:00:26Z,2026-06-23T08:34:19Z
40522584,NT610,NAY74ZZ,NAY,AT76,EC-OGF,GCXO,GCLA,2026-06-23T08:11:07Z,2026-06-23T08:35:06Z
405227b3,NT607,RSC73MZ,IBB,AT76,EC-MYT,GCLA,GCXO,2026-06-23T08:13:28Z,2026-06-23T08:42:38Z
40522e49,NT760,RSC760,RSC,AT76,EC-MNN,GCTS,GCLA,2026-06-23T08:27:55Z,2026-06-23T08:51:35Z
40523c13,PM418,CNF418S,CNF,AT75,EC-MSM,GCXO,GCLA,2026-06-23T08:49:06Z,2026-06-23T09:14:02Z
405245e8,NT617,NAY32VP,NAY,AT76,EC-OGF,GCLA,GCXO,2026-06-23T09:01:47Z,2026-06-23T09:27:58Z
40524bc9,NT616,RSC31XL,RSC,AT76,EC-MIF,GCXO,GCLA,2026-06-23T09:12:47Z,2026-06-23T09:37:17Z
40525653,NT308,NAY83XR,NAY,AT76,EC-NGG,GCLP,GCLA,2026-06-23T09:30:55Z,2026-06-23T10:13:12Z
4052579f,NT763,RSC75UH,RSC,AT76,EC-MNN,GCLA,GCTS,2026-06-23T09:30:07Z,2026-06-23T09:52:11Z
40525ee2,PM419,CNF419S,CNF,AT75,EC-MSM,GCLA,GCXO,2026-06-23T09:42:11Z,2026-06-23T10:09:58Z
40510e8a,E9814,EVE814,EVE,A359,EC-NBO,MMUN,LEMD,2026-06-23T00:28:02Z,2026-06-23T09:23:20Z
40510ff3,UA51,UAL51,UAL,B764,N66056,KEWR,LEMD,2026-06-23T00:46:31Z,2026-06-23T07:17:50Z
405110bc,TA301,TAI301,PLM,A332,EC-NCK,LEMD,MSLP,2026-06-23T00:34:20Z,2026-06-23T11:01:57Z
40511482,DL126,DAL126,DAL,A339,N433DX,KJFK,LEMD,2026-06-23T01:01:54Z,2026-06-23T07:38:08Z
405116aa,QY8342,BCS4EP,SWT,B734,EC-NMK,EDDK,LEMD,2026-06-23T00:32:58Z,2026-06-23T02:50:59Z
405117de,UX1088,AEA35SY,OVA,B38M,EC-OTA,LGAV,LEMD,2026-06-23T00:42:13Z,2026-06-23T03:46:21Z
405119c9,2W3504,WFL3504,WFL,A359,EC-NTB,MDPC,LEMD,2026-06-23T00:46:15Z,2026-06-23T08:19:17Z
40511d0c,QY8340,BCS7CK,RGN,B752,EC-NYM,LIMC,LEMD,2026-06-23T01:08:10Z,2026-06-23T02:48:24Z
40511dc6,CA898,CCA898,CCA,B789,B-7898,LEMD,ZBAA,2026-06-23T00:58:58Z,2026-06-23T11:42:18Z
40511e5d,IB352,IBE0352,IBE,A332,EC-MNK,KLAX,LEMD,2026-06-23T01:01:58Z,2026-06-23T11:38:00Z
40511e65,IB108,IBE5108,IBE,A359,EC-NJM,SAEZ,LEMD,2026-06-23T00:49:20Z,2026-06-23T12:07:00Z
40511f65,AEG472,AEG472,AEG,SF34,ES-LSG,LEMD,EDSB,2026-06-23T00:52:56Z,2026-06-23T04:00:42Z
40511f88,AV47,AVA047,AVA,B788,N791AV,LEMD,SKBO,2026-06-23T00:56:04Z,2026-06-23T10:11:11Z
40511fce,IB170,IBE0170,IBE,A332,EC-MMG,SUMU,LEMD,2026-06-23T00:52:17Z,2026-06-23T12:43:37Z
405122d4,PU302,PUE302,PUE,A332,EC-NUL,SPJC,LEMD,2026-06-23T01:07:50Z,2026-06-23T12:40:43Z
40512584,IB326,IBE03KE,IBE,A332,EC-MLP,KJFK,LEMD,2026-06-23T01:28:06Z,2026-06-23T08:04:19Z
40512872,2W2502,WFL2502,WFL,A359,EC-NOI,MMUN,LEMD,2026-06-23T01:06:52Z,2026-06-23T10:01:37Z
4051296f,IB308,IBE0308,IBE,A359,EC-OCR,MMMX,LEMD,2026-06-23T01:24:32Z,2026-06-23T11:35:24Z
40512c1c,IB126,IBE0126,IBE,A359,EC-NLP,SPJC,LEMD,2026-06-23T01:19:54Z,2026-06-23T12:17:48Z
40514f7c,EW6815,EWG53L,EWL,A320,9H-EWI,EDDN,LEPA,2026-06-23T01:59:11Z,2026-06-23T03:42:37Z
40515071,DE1772,CFG2XR,CFG,A21N,D-ANLB,EDDF,LEPA,2026-06-23T03:00:13Z,2026-06-23T04:41:03Z
4051531d,DE1602,CFG2LD,HST,A320,LY-VUT,EDDG,LEPA,2026-06-23T02:12:26Z,2026-06-23T04:06:26Z
40515d0d,X32314,TUI3NG,TUI,B38M,D-AMAH,EDDV,LEPA,2026-06-23T02:36:28Z,2026-06-23T04:42:53Z
40515ec0,EW6863,EWG31G,EWL,A320,9H-EWH,EDDE,LEPA,2026-06-23T02:31:29Z,2026-06-23T04:35:18Z
4051611f,WT101,SWT101,SWT,AT72,EC-IYH,LEMD,LEPA,2026-06-23T02:43:37Z,2026-06-23T04:11:52Z
4051631f,DI6034,MBU5AW,MBU,A20N,ES-MBC,EDDN,LEPA,2026-06-23T02:39:39Z,2026-06-23T04:23:51Z
40516677,,MASBA,RYR,CL35,M-ASBA,EIDW,LEPA,2026-06-23T02:51:18Z,2026-06-23T05:02:19Z
40516a52,IB1653,IBS16SG,IBS,A320,EC-LAA,LEMD,LEPA,2026-06-23T02:56:10Z,2026-06-23T03:52:08Z
40516edf,DE1502,CFG9FV,CFG,A21N,D-ANMY,EDDF,LEPA,2026-06-23T03:06:02Z,2026-06-23T04:44:39Z
4051705c,BY2171,TOM5TH,TOM,B38M,G-TUPG,LEPA,EGCC,2026-06-23T03:05:45Z,2026-06-23T05:18:30Z
40517240,EW6823,EWG9TZ,EWL,A320,9H-EUV,EDDG,LEPA,2026-06-23T03:02:49Z,2026-06-23T04:58:10Z
4051733a,EW3590,EWG77PM,EWL,A320,9H-EWB,EDDV,LEPA,2026-06-23T03:10:12Z,2026-06-23T05:13:45Z
40517510,EW6809,EWG42M,EWL,A320,9H-EUW,EDLP,LEPA,2026-06-23T03:10:52Z,2026-06-23T05:04:01Z
405175c5,X32128,TUI3WL,TUI,B738,D-ATUA,EDDF,LEPA,2026-06-23T03:34:40Z,2026-06-23T05:11:46Z
40517649,DE1508,CFG3TP,CFG,A21N,D-ANMX,EDDM,LEPA,2026-06-23T04:09:39Z,2026-06-23T05:50:53Z
405178a9,FR954,RYR851V,MAY,B738,9H-QBR,LEPA,EPPO,2026-06-23T04:02:02Z,2026-06-23T06:40:55Z
40517d80,EW580,EWG4LQ,EWL,A320,9H-EWC,EDDK,LEPA,2026-06-23T03:27:06Z,2026-06-23T05:15:27Z
40518051,DE1710,CFG2JY,CFG,A20N,D-ANCX,EDDF,LEPA,2026-06-23T04:33:43Z,2026-06-23T06:11:30Z
4051819c,DI6526,MBU7MX,MBU,A20N,ES-MBA,EDDP,LEPA,2026-06-23T03:36:00Z,2026-06-23T05:38:42Z
40515aed,HV6729,TRA6729,TRA,A21N,PH-YHQ,EHAM,LEZL,2026-06-23T04:56:34Z,2026-06-23T07:28:16Z
40518c86,W46039,WMT3303,WZZ,A21N,HA-LGY,LIRF,LEZL,2026-06-23T03:58:49Z,2026-06-23T06:07:17Z
405192e7,W43195,WMT5BE,WZZ,A321,HA-LXM,LROP,LEZL,2026-06-23T04:10:34Z,2026-06-23T07:53:12Z
4051a4bd,W46309,WMT8151,WMT,A21N,9H-XLD,LIMC,LEZL,2026-06-23T04:41:11Z,2026-06-23T06:44:43Z
4051a5ff,FR1246,RYR1246,MAY,B738,9H-QDJ,LEZL,LFOB,2026-06-23T04:40:35Z,2026-06-23T06:44:00Z
4051a62e,TP1107,TAP11VP,PGA,E190,CS-TPO,LEZL,LPPT,2026-06-23T04:44:26Z,2026-06-23T05:24:29Z
4051a749,WT1810,SWT1810,SWT,A321,EC-OPB,LEVT,LEZL,2026-06-23T04:48:03Z,2026-06-23T05:51:03Z
4051a967,VY3250,VLG4UD,VLG,A320,EC-LOP,LEZL,GCXO,2026-06-23T04:49:21Z,2026-06-23T07:00:51Z
4051ad17,AF1223,AFR88GX,HOP,E190,F-HBQA,LEZL,LFPG,2026-06-23T04:56:09Z,2026-06-23T06:58:42Z
4051ad78,VY3050,VLG35XX,VLG,A320,EC-LLJ,LEZL,GCLP,2026-06-23T04:51:57Z,2026-06-23T06:56:31Z
4051adbc,,MTL278C,MTL,SF34,YL-RAG,LFPB,LEZL,2026-06-23T04:44:27Z,2026-06-23T08:17:11Z
4051b05e,VY8220,VLG8LH,VLG,A320,EC-JTR,LEZL,LFPO,2026-06-23T04:58:55Z,2026-06-23T06:56:36Z
4051b0a0,IB2390,ANE74MW,ANE,CRJX,EC-LOJ,LEVC,LEZL,,
4051b19c,IB1751,IBS1751,IBS,A21N,EC-OBY,LEMD,LEZL,2026-06-23T05:49:32Z,2026-06-23T06:32:41Z
4051b3c7,VY2430,VLG7JH,VLG,A320,EC-OGC,LEZL,LEMH,2026-06-23T05:15:18Z,2026-06-23T06:37:52Z
4051b6ab,VY7340,VLG4VM,VLG,A320,EC-LOB,LEZL,GMMI,2026-06-23T05:09:10Z,2026-06-23T06:22:14Z
4051ba1b,W95369,WUK1PG,WUK,A21N,G-WUKZ,EGGW,LEZL,2026-06-23T05:18:41Z,2026-06-23T07:42:00Z
4051bb27,VY2210,VLG78AY,VLG,A321,EC-MLM,LEBL,LEZL,2026-06-23T05:19:55Z,2026-06-23T06:30:16Z
40512464,FR9593,RYR9593,RYR,B738,EI-EMD,LEVC,GMTT,2026-06-23T00:55:53Z,2026-06-23T01:54:39Z
40517c00,AY1703,FIN1703,FIN,A320,OH-LXA,EFHK,LEVC,2026-06-23T03:24:33Z,2026-06-23T07:20:19Z
40518460,W62079,WZZ8Z,WMT,A21N,9H-WBU,EPKK,LEVC,2026-06-23T03:41:55Z,2026-06-23T06:19:07Z
405185e3,FR7372,RYR7372,MAY,B738,9H-QBE,LEVC,LEPA,2026-06-23T03:44:08Z,2026-06-23T04:22:11Z
40518604,FR6321,RYR820G,RYR,B738,EI-DWW,LEVC,EPMO,2026-06-23T03:45:43Z,2026-06-23T06:46:33Z
40518934,FR1713,RYR9141,RYR,B738,EI-DPF,LEVC,LFRS,2026-06-23T03:51:18Z,2026-06-23T05:08:39Z
40518f6a,FR7548,RYR7548,RYR,B738,EI-DYL,LEVC,LICJ,2026-06-23T04:01:30Z,2026-06-23T05:47:17Z
4051935c,TO4620,TVF33QG,TVF,B738,F-HTVM,LFPO,LEVC,2026-06-23T04:07:36Z,2026-06-23T05:38:22Z
4051933d,LX2140,SWR245T,SWR,BCS3,HB-JCK,LSZH,LEVC,2026-06-23T04:57:23Z,2026-06-23T06:43:48Z
405195f7,5X242,UPS242,UPS,B763,N397UP,LEBL,LEVC,2026-06-23T04:20:10Z,2026-06-23T04:53:07Z
4051963f,LX2147,SWR3AP,SWR,A320,HB-IJR,LEVC,LSZH,2026-06-23T04:06:35Z,2026-06-23T05:56:57Z
40519983,JU590,ASL69U,BTI,BCS3,YL-AAT,LYBE,LEVC,2026-06-23T04:20:43Z,2026-06-23T06:51:21Z
40519a8f,FR6249,RYR65FR,RYR,B738,EI-DCZ,LEVC,LIPH,2026-06-23T04:21:41Z,2026-06-23T06:09:18Z
40519d1b,FR2301,RYR67TX,RYS,B738,SP-RNO,LHBP,LEVC,2026-06-23T04:29:12Z,2026-06-23T06:53:43Z
40519ed5,FR2147,RYR2147,MAY,B738,9H-QAO,EBCI,LEVC,2026-06-23T04:36:49Z,2026-06-23T06:22:30Z
40519ede,FR1771,RYR1RT,MAY,B738,9H-QCG,LEVC,LFML,2026-06-23T04:27:41Z,2026-06-23T05:31:44Z
4051a175,IB1084,ANE1084,ANE,CRJX,EC-MJP,LEVC,LEMD,2026-06-23T04:31:59Z,2026-06-23T05:02:35Z
4051a70a,W64409,WZZ1742,WMT,A21N,9H-WDR,LBSF,LEVC,2026-06-23T04:42:07Z,2026-06-23T07:26:34Z
